gsc,hs
b_t,240391
b_t,2201
b_t,240399
b_t,1107
b_t,2204
b_t,220850
b_t,220890
b_t,220870
b_t,240319
b_t,2402
b_t,220840
b_t,220830
b_t,2205
b_t,220820
b_t,220860
b_t,240120
b_t,220210
b_t,2206
b_t,240311
b_t,220299
b_t,220291
b_t,2203
b_t,220710
c_b,120910
c_b,121291
c_b,121293
c_b,121299
cmt,0204
cmt,0206
cmt,020321
cmt,0201
cmt,0202
cmt,020830
cmt,020810
cmt,020860
cmt,020840
cmt,020322
cmt,020890
cmt,020329
cmt,0504
cmt,0205
ctl,0104
ctl,010613
ctl,010619
ctl,010229
ctl,010231
ctl,010290
ctl,010239
ctl,051110
ctl,010221
ctl,010129
ctl,010130
ctl,010190
ctl,010121
frs,440323
frs,440111
frs,440393
frs,440398
frs,440395
frs,130120
frs,440322
frs,400130
frs,440391
frs,060490
frs,440394
frs,440349
frs,060420
frs,440397
frs,440325
frs,450110
frs,080290
frs,440321
frs,440324
frs,130190
frs,440396
frs,440341
frs,140490
frs,440399
frs,440112
frs,440326
frs,1401
gro,1005
gro,100710
gro,100829
gro,100410
gro,100850
gro,100860
gro,100810
gro,100390
gro,100210
gro,100490
gro,100840
gro,100890
gro,100310
gro,100790
gro,100821
gro,100830
gro,100290
mil,040520
mil,040390
mil,040790
mil,040510
mil,350110
mil,040110
mil,0404
mil,040140
mil,040590
mil,040310
mil,2105
mil,040120
mil,0402
mil,0406
mil,040150
oap,010631
oap,041000
oap,010614
oap,010639
oap,010513
oap,430190
oap,152190
oap,030760
oap,010512
oap,410390
oap,160558
oap,040729
oap,0103
oap,010594
oap,040721
oap,410190
oap,010515
oap,010632
oap,010690
oap,410120
oap,4102
oap,040719
oap,410150
oap,010611
oap,010619
oap,430130
oap,010620
oap,410320
oap,430160
oap,010649
oap,410330
oap,040711
oap,430110
oap,051199
oap,010599
oap,0409
oap,010641
oap,010514
oap,010633
oap,010612
oap,430180
oap,010511
ocr,060315
ocr,120921
ocr,090961
ocr,1213
ocr,090931
ocr,0903
ocr,400122
ocr,091099
ocr,091091
ocr,060314
ocr,060319
ocr,121190
ocr,090710
ocr,120922
ocr,1210
ocr,120924
ocr,060210
ocr,120923
ocr,121150
ocr,400129
ocr,060240
ocr,0601
ocr,091020
ocr,090240
ocr,090921
ocr,121130
ocr,121299
ocr,121490
ocr,060230
ocr,090421
ocr,090821
ocr,240110
ocr,060390
ocr,060290
ocr,121294
ocr,090611
ocr,090411
ocr,400121
ocr,090811
ocr,121140
ocr,060220
ocr,120999
ocr,1801
ocr,121120
ocr,090220
ocr,400110
ocr,060312
ocr,060311
ocr,091030
ocr,130211
ocr,120925
ocr,090831
ocr,090619
ocr,091011
ocr,090111
ocr,090510
ocr,120929
ocr,120930
ocr,060313
ofd,030391
ofd,090230
ofd,130232
ofd,160530
ofd,200990
ofd,091091
ofd,030743
ofd,190532
ofd,030431
ofd,030448
ofd,170290
ofd,160569
ofd,080290
ofd,090112
ofd,030493
ofd,160563
ofd,1106
ofd,0710
ofd,030356
ofd,030752
ofd,030551
ofd,030693
ofd,030392
ofd,030462
ofd,2309
ofd,160413
ofd,160415
ofd,030323
ofd,030792
ofd,160561
ofd,200941
ofd,030543
ofd,160552
ofd,030433
ofd,030319
ofd,030366
ofd,090422
ofd,030632
ofd,071220
ofd,071140
ofd,030351
ofd,030343
ofd,030495
ofd,160529
ofd,030444
ofd,030445
ofd,090122
ofd,051191
ofd,080510
ofd,080620
ofd,030363
ofd,090922
ofd,030772
ofd,071151
ofd,1805
ofd,200981
ofd,110290
ofd,0804
ofd,080550
ofd,030291
ofd,071233
ofd,1109
ofd,130214
ofd,030829
ofd,030633
ofd,030311
ofd,200520
ofd,200939
ofd,090812
ofd,080232
ofd,030616
ofd,030482
ofd,200551
ofd,030579
ofd,030779
ofd,080521
ofd,160411
ofd,030692
ofd,350510
ofd,030542
ofd,200540
ofd,080540
ofd,190510
ofd,090832
ofd,071232
ofd,030334
ofd,081210
ofd,110419
ofd,200811
ofd,030571
ofd,200820
ofd,090121
ofd,071290
ofd,2104
ofd,110412
ofd,030454
ofd,030617
ofd,030497
ofd,200931
ofd,200912
ofd,030561
ofd,030461
ofd,160432
ofd,090620
ofd,030691
ofd,071120
ofd,030531
ofd,030819
ofd,030312
ofd,030357
ofd,030749
ofd,030471
ofd,030569
ofd,030481
ofd,200819
ofd,2209
ofd,030549
ofd,030314
ofd,030559
ofd,030541
ofd,350219
ofd,2004
ofd,200880
ofd,080252
ofd,110319
ofd,030759
ofd,030890
ofd,030381
ofd,030326
ofd,071231
ofd,1904
ofd,030492
ofd,030354
ofd,090520
ofd,030432
ofd,030510
ofd,160416
ofd,200850
ofd,1806
ofd,230120
ofd,110320
ofd,190590
ofd,160551
ofd,091020
ofd,030822
ofd,030830
ofd,030544
ofd,2106
ofd,110423
ofd,030520
ofd,030346
ofd,090190
ofd,200893
ofd,200580
ofd,160540
ofd,030491
ofd,200961
ofd,030553
ofd,110311
ofd,030489
ofd,1804
ofd,030699
ofd,030722
ofd,030469
ofd,030456
ofd,080119
ofd,030494
ofd,200560
ofd,030359
ofd,1105
ofd,110422
ofd,200989
ofd,030473
ofd,090822
ofd,200110
ofd,130212
ofd,030355
ofd,030787
ofd,030367
ofd,030453
ofd,110429
ofd,030329
ofd,200899
ofd,030441
ofd,030325
ofd,030353
ofd,030364
ofd,030446
ofd,190531
ofd,160555
ofd,160553
ofd,030484
ofd,030719
ofd,030313
ofd,200860
ofd,200969
ofd,170240
ofd,110220
ofd,030447
ofd,200390
ofd,080262
ofd,030368
ofd,030799
ofd,160210
ofd,030499
ofd,200870
ofd,030474
ofd,091030
ofd,210112
ofd,030784
ofd,110430
ofd,080522
ofd,030442
ofd,200891
ofd,030449
ofd,030487
ofd,071159
ofd,200190
ofd,080242
ofd,200921
ofd,160521
ofd,090962
ofd,1901
ofd,200840
ofd,2006
ofd,160510
ofd,190540
ofd,121410
ofd,210120
ofd,200830
ofd,030365
ofd,030349
ofd,030694
ofd,030532
ofd,030389
ofd,121299
ofd,030572
ofd,030459
ofd,030631
ofd,030475
ofd,160419
ofd,130239
ofd,210111
ofd,160562
ofd,071190
ofd,200310
ofd,030383
ofd,160417
ofd,030712
ofd,030634
ofd,1803
ofd,200510
ofd,030554
ofd,030783
ofd,030457
ofd,160557
ofd,030324
ofd,090210
ofd,160559
ofd,030485
ofd,200599
ofd,200919
ofd,091012
ofd,080132
ofd,030615
ofd,200950
ofd,030344
ofd,030399
ofd,160412
ofd,030479
ofd,200949
ofd,080390
ofd,030695
ofd,130220
ofd,030333
ofd,091099
ofd,030636
ofd,080270
ofd,030451
ofd,350211
ofd,071239
ofd,160414
ofd,160554
ofd,2002
ofd,030455
ofd,080310
ofd,081290
ofd,160431
ofd,030563
ofd,030345
ofd,030614
ofd,160556
ofd,170230
ofd,200979
ofd,200570
ofd,1704
ofd,030812
ofd,030331
ofd,1101
ofd,2103
ofd,090932
ofd,030619
ofd,030496
ofd,130219
ofd,030369
ofd,030486
ofd,2102
ofd,170250
ofd,200971
ofd,080212
ofd,1902
ofd,030639
ofd,0813
ofd,030732
ofd,200591
ofd,2007
ofd,090412
ofd,030788
ofd,030611
ofd,130213
ofd,0811
ofd,080122
ofd,090720
ofd,200559
ofd,030539
ofd,1108
ofd,030384
ofd,170219
ofd,200929
ofd,170260
ofd,030483
ofd,030562
ofd,030552
ofd,030488
ofd,080590
ofd,190520
ofd,030739
ofd,080111
ofd,200897
ofd,030439
ofd,120242
ofd,030382
ofd,080222
ofd,0408
ofd,030472
ofd,030729
ofd,210130
ofd,160418
ofd,030564
ofd,130231
ofd,1903
ofd,030332
ofd,030342
ofd,030612
ofd,030443
ofd,160420
ofd,030635
ofd,0814
ofd,200911
ofd,030339
ofd,080529
ofd,030341
ofd,110313
ofd,170211
ofd,030452
ofd,030463
ofd,080280
omt,160250
omt,020741
omt,021012
omt,021092
omt,020727
omt,160290
omt,020714
omt,021093
omt,020712
omt,020711
omt,020753
omt,020713
omt,160220
omt,020755
omt,020754
omt,160232
omt,020319
omt,020744
omt,230110
omt,020312
omt,020724
omt,020726
omt,021091
omt,021099
omt,160231
omt,020743
omt,021020
omt,160242
omt,020850
omt,160239
omt,020810
omt,160241
omt,020751
omt,021019
omt,020725
omt,020752
omt,021011
omt,020311
omt,160249
omt,020745
omt,1601
omt,020742
omt,020760
omt,020890
omt,1603
osd,120110
osd,1203
osd,120230
osd,120590
osd,120710
osd,120190
osd,120241
osd,120730
osd,120740
osd,120791
osd,120760
osd,1206
osd,120770
osd,080119
osd,120799
osd,070992
osd,120729
osd,080112
osd,120510
osd,120750
osd,120721
osd,1204
pcr,100620
pcr,100630
pcr,100640
pdr,100610
pfb,530500
pfb,5201
pfb,530310
pfb,530210
pfb,530110
rmk,040120
rmk,040140
rmk,040150
sgr,170113
sgr,170114
sgr,1703
sgr,170220
sgr,170112
sgr,170199
sgr,170191
v_f,070970
v_f,080390
v_f,080241
v_f,080930
v_f,080510
v_f,0708
v_f,080270
v_f,080261
v_f,080131
v_f,080719
v_f,080310
v_f,080590
v_f,070930
v_f,120991
v_f,0702
v_f,080290
v_f,0713
v_f,070920
v_f,080830
v_f,0701
v_f,0804
v_f,080550
v_f,070951
v_f,070960
v_f,0705
v_f,080251
v_f,080921
v_f,070993
v_f,080810
v_f,080840
v_f,120999
v_f,0703
v_f,070999
v_f,080610
v_f,080711
v_f,070959
v_f,0810
v_f,0706
v_f,0707
v_f,080720
v_f,080221
v_f,080521
v_f,080910
v_f,080121
v_f,080929
v_f,080940
v_f,080211
v_f,0704
v_f,080231
v_f,0714
v_f,080522
v_f,080529
v_f,080540
v_f,121292
v_f,070991
v_f,080280
v_f,070940
vol,151550
vol,151519
vol,230620
vol,230690
vol,151610
vol,230610
vol,1513
vol,151491
vol,1507
vol,150190
vol,020990
vol,230630
vol,150210
vol,151590
vol,150290
vol,151620
vol,151511
vol,230641
vol,1506
vol,1522
vol,151499
vol,150110
vol,152110
vol,2304
vol,230650
vol,151000
vol,151529
vol,2305
vol,020910
vol,151521
vol,150990
vol,150910
vol,151411
vol,1512
vol,1508
vol,150500
vol,1503
vol,1208
vol,1504
vol,140420
vol,1511
vol,151530
vol,1517
vol,150120
vol,151419
vol,230660
vol,230649
wht,100111
wht,100119
wht,100191
wht,100199
wol,5001
wol,510111
wol,510219
wol,510220
wol,510119
wol,510211
bph,293729
bph,293980
bph,293626
bph,292419
bph,300120
bph,293319
bph,293590
bph,293919
bph,293961
bph,293941
bph,300442
bph,293622
bph,293353
bph,293962
bph,293355
bph,293750
bph,300460
bph,292411
bph,300449
bph,293969
bph,300339
bph,300420
bph,293719
bph,293624
bph,293352
bph,300432
bph,293979
bph,300349
bph,300439
bph,300190
bph,291821
bph,293949
bph,293943
bph,293690
bph,293790
bph,293623
bph,292425
bph,300211
bph,293550
bph,293959
bph,293359
bph,293321
bph,2941
bph,292423
bph,300220
bph,293430
bph,3005
bph,300342
bph,300212
bph,293711
bph,300320
bph,293311
bph,2923
bph,293369
bph,293220
bph,293722
bph,293930
bph,300410
bph,300214
bph,300630
bph,300290
bph,293963
bph,293942
bph,293723
bph,292424
bph,293540
bph,293627
bph,293354
bph,292412
bph,300490
bph,300343
bph,293510
bph,293625
bph,300230
bph,293530
bph,300390
bph,2938
bph,300431
bph,300441
bph,300443
bph,300219
bph,293520
bph,293920
bph,293629
bph,300450
bph,292241
bph,293911
bph,300310
bph,300360
bph,293712
bph,293721
bph,293628
bph,292429
bph,300341
bph,293951
bph,293944
bph,292242
bph,300620
bph,293971
bph,300331
bph,2940
bph,300215
bph,300213
bph,293621
bph,300660
bph,291822
bph,291823
chm,3826
chm,293371
chm,3701
chm,381220
chm,310430
chm,292219
chm,291450
chm,2902
chm,283421
chm,293060
chm,3210
chm,281121
chm,285390
chm,290539
chm,290512
chm,3802
chm,3203
chm,281215
chm,282612
chm,291712
chm,292022
chm,292529
chm,380862
chm,320190
chm,291733
chm,291241
chm,282410
chm,290435
chm,370297
chm,4002
chm,293372
chm,292030
chm,292521
chm,2843
chm,380852
chm,550190
chm,284170
chm,291532
chm,291249
chm,283325
chm,293329
chm,292511
chm,290542
chm,290322
chm,320120
chm,382311
chm,290499
chm,284410
chm,3810
chm,293391
chm,3910
chm,284510
chm,282735
chm,292021
chm,270720
chm,540211
chm,291619
chm,382491
chm,2901
chm,2803
chm,350520
chm,370241
chm,382313
chm,540233
chm,381231
chm,291613
chm,382487
chm,381210
chm,291219
chm,550319
chm,540247
chm,291812
chm,290715
chm,540246
chm,320411
chm,285290
chm,283324
chm,291462
chm,291639
chm,293980
chm,540251
chm,320490
chm,293420
chm,540234
chm,290729
chm,370253
chm,291469
chm,320641
chm,2847
chm,370210
chm,293293
chm,290891
chm,2819
chm,3401
chm,380893
chm,290721
chm,293341
chm,320619
chm,3302
chm,291422
chm,550340
chm,390599
chm,320620
chm,291713
chm,291440
chm,380894
chm,291614
chm,283692
chm,3205
chm,292229
chm,281219
chm,293214
chm,293020
chm,291513
chm,290712
chm,291539
chm,3601
chm,292421
chm,380892
chm,3303
chm,3813
chm,280512
chm,283620
chm,380891
chm,3212
chm,310260
chm,293491
chm,290431
chm,382472
chm,290313
chm,3820
chm,330124
chm,292090
chm,293134
chm,2837
chm,291891
chm,290711
chm,310420
chm,270750
chm,3207
chm,290545
chm,2846
chm,293379
chm,290432
chm,370231
chm,281111
chm,270740
chm,293133
chm,540248
chm,340490
chm,550290
chm,290723
chm,291734
chm,290315
chm,320419
chm,2810
chm,390530
chm,283691
chm,382486
chm,3703
chm,390910
chm,390950
chm,2850
chm,281610
chm,290612
chm,291720
chm,290372
chm,291736
chm,280511
chm,290311
chm,2806
chm,540252
chm,293136
chm,290393
chm,291990
chm,291620
chm,292215
chm,290629
chm,285310
chm,550130
chm,540249
chm,293410
chm,3906
chm,290491
chm,290722
chm,283330
chm,293299
chm,370296
chm,3403
chm,290378
chm,280530
chm,3806
chm,3507
chm,3504
chm,390920
chm,3605
chm,293212
chm,310311
chm,382460
chm,2814
chm,292011
chm,290389
chm,291813
chm,290329
chm,340290
chm,310230
chm,320420
chm,291471
chm,290713
chm,291616
chm,282619
chm,320412
chm,290375
chm,382481
chm,291221
chm,390940
chm,370252
chm,283322
chm,3306
chm,282739
chm,382473
chm,3602
chm,290549
chm,291229
chm,290522
chm,540411
chm,320417
chm,291439
chm,280540
chm,290819
chm,291634
chm,2849
chm,390720
chm,292512
chm,293331
chm,3506
chm,291714
chm,290949
chm,3215
chm,540490
chm,293213
chm,310210
chm,283699
chm,293211
chm,540259
chm,350190
chm,293070
chm,281214
chm,370298
