Number,Code,Code_Num,Description
14,fsh,03,Fishing and aquaculture
14,fsh,017,"Hunting, trapping and related service activities"
15,coa,05,Mining of coal and lignite
16,oil,061,Extraction of crude petroleum
16,oil,091,Support activities for petroleum and natural gas extraction (petroleum part)
17,gas,062,Extraction of natural gas
17,gas,091,Support activities for petroleum and natural gas extraction (natural gas part)
18,oxt,07,Mining of metal ores
18,oxt,08,Other mining and quarrying
18,oxt,099,Support activities for other mining and quarrying
27,tex,13,Manufacture of textiles
28,wap,14,Manufacture of wearing apparel
29,lea,15,Manufacture of leather and related products
30,lum,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
31,ppp,17,Manufacture of paper and paper products
31,ppp,18,Printing and reproduction of record media
32,p_c,19,Manufacture of coke and refined petroleum products
33,chm,20,Manufacture of chemicals and chemical products
34,bph,21,"Manufacture of pharmaceuticals, medicinal chemical and botanical products"
35,rpp,22,Manufacture of rubber and plastics products
36,nmm,23,Manufacture of other non-metallic mineral products
37,i_s,241,Manufacture of basic iron and steel
37,i_s,2431,Casting of iron and steel
38,nfm,242,Manufacture of basic precious and other non-ferrous metals
38,nfm,2432,Casting of non-ferrous metals
39,fmp,25,"Manufacture of fabricated metal products, except machinery and equipment"
40,ele,26,"Manufacture of computer, electronic and optical products"
41,eeq,27,Manufacture of electrical equipment
42,ome,28,Manufacture of machinery and equipment n.e.c.
43,mvh,29,"Manufacture of motor vehicles, trailers and semi-trailers"
44,otn,30,Manufacture of other transport equipment
45,omf,31,Manufacture of furniture
45,omf,32,Other manufacturing
45,omf,33,Repair and installation of machinery and equipment
46,ely,351,"Production, collection and distribution of electricity"
46,ely,353,Steam and hot water supply
47,gdt,352,Manufacture of gas; distribution of gaseous fuels through mains
48,wtr,36,"Collection, purification and distribution of water, water collection, treatment and supply"
48,wtr,37,Sewerage
48,wtr,38,"Waste collection, treatment and disposal activities; materials recovery"
48,wtr,39,Remediation activities and other waste management services
49,cns,41,Construction of buildings
49,cns,42,Civil engineering
49,cns,43,Specialized construction activities
