country,sector,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,VNM,THA,LAO,AFR,AME,ASI,EUR,OCE
,,CRO,LIV,FOR,FIS,MIN,MFO,MBE,MTO,MTE,MWO,MPA,MCO,MCH,MPH,MRU,MNM,MBA,MFA,MEL,MMA,MTR,MFU,MAO,ELE,WAS,CON,TRW,TRR,TRL,POS,ACF,PUB,VID,TEL,INF,FIN,INS,REA,ACC,CST,ARC,VET,REN,EMP,TRA,SEC,BUI,OFS,ADM,EDU,HEA,RES,SOC,CRE,LIB,BET,SPO,AMO,REP,OPS,final_demand,capital,exports,exports,exports,exports,exports,exports,exports,exports
KHM,CRO,238.503,64.354,2.211,10.116,0.375,168.575,135.490,122.723,1.862,1.989,8.472,0.000,6.939,0.016,5.058,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.437,24.280,0.000,19.114,64.269,0.033,0.000,0.000,255.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.054,0.286,17.935,6.174,52.880,0.000,0.000,0.083,0.000,0.869,0.000,1.135,8.155,26.204,2211.792,0.000,81.066,46.429,0.000,0.029,5.273,33.008,48.868,0.447
KHM,LIV,27.884,46.447,0.162,25.173,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.256,13.112,0.133,8.278,0.000,77.593,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.890,0.413,2.499,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.751,0.725,443.107,33.501,0.000,0.002,0.031,0.000,0.196,0.484,0.000,0.000
KHM,FOR,45.055,0.066,16.374,22.319,0.180,0.011,0.129,0.013,2.836,7.904,1.233,0.000,0.443,0.033,2.483,0.078,0.000,0.009,0.000,0.000,0.051,0.022,0.009,53.223,0.007,37.653,27.067,0.001,9.385,0.000,28.185,0.000,0.000,0.017,0.000,0.013,0.000,0.282,0.000,0.000,0.013,0.001,0.000,0.000,0.023,0.010,0.000,0.000,1.731,0.287,4.930,0.000,0.002,0.001,0.000,0.000,0.002,0.006,1.673,1.130,160.753,0.407,0.214,0.145,0.000,0.008,0.952,0.643,1.326,0.030
KHM,FIS,11.148,0.056,0.600,220.330,0.389,101.776,37.722,0.637,1.658,0.000,0.237,0.000,0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.891,44.969,0.096,0.000,0.000,193.552,0.000,0.000,4.836,0.000,0.000,0.000,3.117,0.000,0.000,0.000,0.000,0.000,0.000,0.462,0.000,0.000,0.000,0.000,0.175,1.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.384,889.370,4.880,0.000,78.280,0.000,0.000,0.000,48.976,0.002,0.000
KHM,MIN,5.575,0.067,0.735,5.016,2.885,0.019,1.892,1.096,2.578,0.024,1.188,0.000,0.156,0.008,1.127,22.753,21.526,0.294,0.004,0.012,0.005,0.000,0.035,72.660,0.016,26.997,0.643,0.169,1.074,0.001,4.372,0.031,0.000,5.159,0.002,0.491,0.001,18.539,0.681,0.014,0.946,0.000,0.042,0.067,7.554,0.393,0.012,0.522,4.476,0.766,1.119,0.202,0.053,0.131,0.003,2.328,0.182,0.753,0.097,0.084,119.635,0.000,0.582,0.457,0.007,0.000,0.001,13.127,0.004,0.000
KHM,MFO,0.253,0.013,0.513,19.554,0.272,84.558,36.091,0.917,2.551,0.016,0.617,0.000,0.164,0.003,0.427,0.125,0.015,0.587,0.001,0.010,0.034,0.002,0.062,3.495,0.005,10.473,5.950,0.143,1.089,0.001,50.678,0.009,0.000,6.015,0.001,0.148,0.000,8.395,0.202,0.004,0.280,0.000,0.013,0.020,2.669,0.121,0.002,0.155,1.380,0.397,1.344,0.075,0.016,0.039,0.002,0.715,0.054,0.223,0.162,0.375,413.677,6.253,49.228,19.633,0.000,0.049,0.387,26.299,22.947,0.081
KHM,MBE,0.346,0.000,0.227,0.026,0.037,18.674,25.827,0.000,0.174,0.005,0.035,0.000,0.004,0.000,0.067,0.041,0.009,0.472,0.000,0.005,0.024,0.001,0.038,0.060,0.000,1.486,9.584,0.144,0.554,0.000,101.579,0.000,0.000,0.006,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.038,0.000,0.000,0.033,0.000,0.053,0.011,0.000,0.000,0.001,0.020,0.000,0.027,0.000,1.301,546.283,4.857,0.880,0.057,0.000,0.000,0.001,3.497,0.055,0.013
KHM,MTO,0.000,0.000,0.000,0.000,0.000,0.001,0.000,29.363,0.893,0.025,0.173,0.000,0.018,0.001,0.345,0.209,0.048,1.880,0.000,0.024,0.122,0.005,0.194,0.308,0.000,7.636,1.245,0.000,2.798,0.000,0.247,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.169,0.000,0.000,0.059,0.000,0.000,0.004,0.102,0.000,0.000,0.000,0.024,229.473,6.815,12.024,1.004,0.000,0.000,0.439,5.693,0.513,0.185
KHM,MTE,4.765,0.000,0.009,0.997,0.003,1.122,2.299,0.000,1799.337,0.006,0.042,0.000,0.004,0.000,31.963,0.051,0.012,0.456,0.000,0.006,0.030,0.068,0.047,0.075,0.000,7.623,4.732,0.000,2.070,0.000,4.643,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,1.339,0.000,0.000,0.014,0.000,0.000,0.001,0.025,0.000,0.000,0.000,0.172,472.335,51.318,8.030,15.719,0.000,8.732,1167.897,611.724,1547.076,37.084
