sector,name,type,usd_per_ton,share_exporting_firms,output,final_demand,supply_data,cutoff
CRO,Crops,agriculture,1335.356190543425,0.05,3670631093.259092,2211792206.2763176,ag_prod,3500000.0
LIV,Livestock and Poultry,agriculture,6802.475453556148,0.05,682794251.6647661,443106950.06506914,livestock,3500000.0
FOR,Forestry and logging,primary,891.222648033723,0.05,429366530.583175,160752828.4777896,forest_loss,25.0
FIS,Fishing and aquaculture,primary,2696.9845673139557,0.05,1653897766.6456914,889370383.1589248,fish_prod,1500.0
MIN,Mining and quarrying,primary,32692.274275164647,0.05,351387937.42978925,119634778.40425898,nb_workers_MIN,100
MFO,Manufacture of food products,manufacturing,16373.240671559368,0.05,779984967.5166278,413677234.07484496,nb_workers_MFO,100
MBE,Manufacture of beverages,manufacturing,915213.448511864,0.05,716555064.998289,546283128.1313277,nb_workers_MBE,100
MTO,Manufacture of tobacco products,manufacturing,9323.254550819189,0.05,302041599.4047445,229472575.51127335,nb_workers_MTO,100
MTE,"Manufacture of textiles, leather, wearing apparel and footwear",manufacturing,11476.846024060747,0.05,5781829303.206167,472334634.3065157,nb_workers_MTE,100
MWO,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",manufacturing,1206.809463162725,0.05,52707497.51314397,16214703.709644934,nb_workers_MWO,100
MPA,Manufacture of paper and paper products; Printing and reproduction of recorded media,manufacturing,4170.736796232423,0.05,192723988.0712064,93666968.10,nb_workers_MPA,100
MCO,Manufacture of coke and refined petroleum products,manufacturing,1713.2323394604714,0.05,7915.582448060683,189.11026955139064,nb_workers_MCO,100
MCH,Manufacture of chemicals and chemical products,manufacturing,3057.813496968027,0.05,83293809.75259686,28668434.61292329,nb_workers_MCH,100
MPH,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",manufacturing,6240.392174885752,0.05,5035259.818864979,1733058.1624849995,nb_workers_MPH,100
MRU,Manufacture of rubber and plastic products,manufacturing,3968.935228770172,0.05,440472985.2286002,117228114.44167814,nb_workers_MRU,100
MNM,Manufacture of other non-metallic mineral products,manufacturing,4157.057166159174,0.05,180640305.9964949,49483724.13428887,nb_workers_MNM,100
MBA,Manufacture of basic metals,manufacturing,6001.311127741839,0.05,123186262.99279462,14549411.85099352,nb_workers_MBA,100
MFA,"Manufacture of fabricated metal products, except machinery and equipment",manufacturing,2023.3301234926168,0.05,212056230.92608464,54894922.27667875,nb_workers_MFA,100
MEL,"Manufacture of electrical equipment, of computer, electronic and optical products",manufacturing,22548.45205545489,0.05,931127.945340754,190273.5439920544,nb_workers_MEL,100
MMA,"Manufacture of machinery and equipment n.e.c.; Repair and installation of machinery and equipement; Manufacture of motor vehicles, trailers and semi-trailers",manufacturing,74897.92581021848,0.05,15468543.21097676,2505369.658473994,nb_workers_MMA,100
MTR,Manufacture of other transport equipment,manufacturing,107292.42758211002,0.05,48938766.0852496,13652380.013867358,nb_workers_MTR,100
MFU,Manufacture of furniture,manufacturing,3085.212599995058,0.05,2756737.0603154213,750623.370224889,nb_workers_MFU,100
MAO,Other manufacturing,manufacturing,11248.842726154277,0.05,50661969.97918788,12280152.16150176,nb_workers_MAO,100
ELE,"Electricity, gas, steam and air conditioning supply; Water collection, treatment and supply; Sewerage",utility,54279.02528624875,0.05,780347750.9242338,320498482.39186746,nb_workers_ELE,100
WAS,"Waste collection, treatment and disposal activities; materials recovery; Remediation activities and other waste management services",utility,54279.02528624875,0.05,7237393.493653099,4902256.489429696,nb_workers_WAS,100
CON,Construction of buildings; Civil engineering; Specialized construction activities,construction,54279.02528624875,0.05,3557241975.544199,341341409.87656355,nb_workers_CON,100
TRW,"Wholesale trade, except of motor vehicles and motorcycles",trade,54279.02528624875,0.05,3023945090.365645,902828058.2952948,nb_workers_TRW,100
TRR,"Retail trade, except of motor vehicles and motorcycles",trade,54279.02528624875,0.05,52775982.92408366,15160599.712563964,nb_workers_TRR,100
TRL,Land transport and transport via pipelines; Water transport; Air transport; Warehousing and support activities for transportation,transport,54279.02528624875,0.05,1816747288.787148,453303278.05053663,nb_workers_TRL,100
POS,Postal and courier activities,services,54279.02528624875,0.05,1202378.7910720676,534594.0925912475,nb_workers_POS,100
ACF,Accommodation; Food and beverage service activities,services,54279.02528624875,0.05,2275682218.530744,283931240.92693007,nb_workers_ACF,100
PUB,Publishing activities,services,54279.02528624875,0.05,14102227.49490426,5240211.197175679,nb_workers_PUB,100
VID,"Motion picture, video and television program production, sound recording and  music publishing activities",services,54279.02528624875,0.05,239445.9714946853,116551.8437968556,nb_workers_VID,100
TEL,"Programming and broadcasting activities; Telecommunications; Computer programming, consultancy and related activities",services,54279.02528624875,0.05,916629218.7279726,340387560.5186891,nb_workers_TEL,100
INF,Information service activities,services,54279.02528624875,0.05,848556.6757236802,310106.57716024545,nb_workers_INF,100
FIN,"Financial service activities, except insurance and pension funding",services,54279.02528624875,0.05,413827911.10036737,220561560.5782905,nb_workers_FIN,100
INS,"Insurance, reinsurance and pension funding, except compulsory social security; Activities auxiliary to financial service and insurance activities",services,54279.02528624875,0.05,2365183.367469215,1261434.1987352942,nb_workers_INS,100
REA,Real estate activities,services,54279.02528624875,0.05,1323541219.887152,928681722.1590512,nb_workers_REA,100
ACC,Legal and accounting activities,services,54279.02528624875,0.05,66504965.22780989,32544949.772441465,nb_workers_ACC,100
CST,Activities of head offices; management consultancy activities,services,54279.02528624875,0.05,2165508.3750287727,64563.58863999344,nb_workers_CST,100
ARC,"Architectural and engineering activities; technical testing and analysis; Scientific research and development; Advertising and market research; Other professional, scientific and technical activities",services,54279.02528624875,0.05,71413795.4092365,2185371.2094416018,nb_workers_ARC,100
VET,Veterinary activities,services,54279.02528624875,0.05,243303.4607723381,7253.975434652058,nb_workers_VET,100
REN,Rental and leasing activities,services,54279.02528624875,0.05,10462532.901663383,4705994.355029048,nb_workers_REN,100
EMP,Employment activities,services,54279.02528624875,0.05,8680605.777002558,3146613.378377702,nb_workers_EMP,100
TRA,"Travel agency, tour operator, reservation service and related activities",services,54279.02528624875,0.05,373137548.61680335,135993049.40928832,nb_workers_TRA,100
SEC,Security and investigation activities,services,54279.02528624875,0.05,285568706.82525164,114411949.66173264,nb_workers_SEC,100
BUI,Services to buildings and landscape activities,services,54279.02528624875,0.05,545609.1773441103,382834.5221351804,nb_workers_BUI,100
OFS,"Office administrative, office support and other business support activities",services,54279.02528624875,0.05,78722579,31218124.53,nb_workers_OFS,200
ADM,Public administration and defense; compulsory social security,services,54279.02528624875,0.05,530309178.68495655,330127655.88465667,nb_workers_ADM,100
EDU,Education,services,54279.02528624875,0.05,374448270.1180732,370052503.26545787,nb_workers_EDU,100
HEA,Human health activities,services,54279.02528624875,0.05,724310184.4541262,720078611.0132365,nb_workers_HEA,100
RES,Residential care activities,services,54279.02528624875,0.05,13293976.748757755,13216310.522131048,nb_workers_RES,100
SOC,Social work activities without accommodation,services,54279.02528624875,0.05,5842719.180094438,5808584.777685478,nb_workers_SOC,100
CRE,"Creative, arts and entertainment activities",services,54279.02528624875,0.05,35731681.8292654,30902182.942612603,nb_workers_CRE,100
LIB,"Libraries, archives, museums and other cultural activities",services,54279.02528624875,0.05,1695288.0561407222,1243890.364392741,nb_workers_LIB,100
BET,Gambling and betting activities,services,54279.02528624875,0.05,331133303.9344212,169322826.8330673,nb_workers_BET,100
SPO,Sports activities and amusement and recreation activities,services,54279.02528624875,0.05,26451552.45220005,13503282.11729936,nb_workers_SPO,100
AMO,Activities of membership organizations,services,54279.02528624875,0.05,53079042.01702579,51811485.84704013,nb_workers_AMO,100
REP,Repair of computers and personal and household goods,services,54279.02528624875,0.05,115690758.18895347,33034093.71990317,nb_workers_REP,100
OPS,Other personal service activities,services,54279.02528624875,0.05,350408681.90706825,325260287.48601663,nb_workers_OPS,100
IMP,Imports,imports,54279.02528624875,0.05,,,,
