,CRO,LIV,FOR,FIS,MIN,MFO,MBE,MTO,MTE,MWO,MPA,MCO,MCH,MPH,MRU,MNM,MBA,MFA,MEL,MMA,MTR,MFU,MAO,ELE,WAS,CON,TRW,TRR,TRL,POS,ACF,PUB,VID,TEL,INF,FIN,INS,REA,ACC,CST,ARC,VET,REN,EMP,TRA,SEC,BUI,OFS,ADM,EDU,HEA,RES,SOC,CRE,LIB,BET,SPO,AMO,REP,OPS
CRO,0.06497610695859561,0.09425109978640024,0.005149032743301028,0.006116742533014114,0.0010668371225203495,0.2161265032728384,0.18908503321948433,0.4063103137685561,0.00032210188624675766,0.03774067225041364,0.043959006028882294,0.0,0.08330903869554593,0.0030988191610917546,0.011483555634152837,0.0,0.0,0.0,0.0,0.0,0.0,0.017507853242341782,0.008633367064390505,0.03111410808439817,0.0,0.005373357176876309,0.021253404730119933,0.0006303159272187363,0.0,0.0,0.11208829613751503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001975191580969088,0.0,0.0,0.0,0.0,0.09960803276539237,0.0036390915775416648,0.033819220084706454,0.0164893870175326,0.07300703178513251,0.0,0.0,0.002315552318218256,0.0,0.0026236999641576202,0.0,0.021390135628435804,0.07048783844592474,0.07478011085081192
LIV,0.0075966068145347735,0.06802483802752915,0.00037638020257008505,0.015220458572050405,0.00013059306875981504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035308057120845437,0.004335982828478564,0.0025121856004549003,0.004556741302336555,0.0,0.034096449694020065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016789919255850733,0.001102387361355654,0.003450090114355474,0.0,0.0,0.0030978535585124063,0.0,0.0,0.0,0.0,0.006494339636498692,0.0020699493698545296
FOR,0.012274564334264238,9.617349909422949e-05,0.03813563016193034,0.013494792352910142,0.0005114098503227238,1.3606433329515455e-05,0.00018008732773289944,4.410611456055086e-05,0.0004905092118649367,0.1499509090859578,0.0063954304550289205,0.0,0.005314684156360336,0.006459836744979908,0.005636290422567514,0.00043126172858066173,1.3302778649435834e-06,4.2269205719533955e-05,0.0,0.0,0.001046274430440892,0.007817598625324534,0.00018509726916244532,0.06820426074561971,0.0008999196395546288,0.010584826316838289,0.008950882169956792,1.4911900689915248e-05,0.005165618568602781,0.0,0.012385268483712212,1.4061200907904042e-05,4.374025340622314e-06,1.8510542673659818e-05,9.600119899184381e-05,3.0271488936401608e-05,1.1832442165919718e-05,0.0002134247538853427,5.234523365275528e-06,4.955279571491985e-05,0.00018051969060782085,0.0025055899089695137,0.0,2.5781409970025328e-05,6.128475643592597e-05,3.617185310496981e-05,0.00011261835704318988,0.0,0.0032650671172164423,0.0007658297258711343,0.006807034228458617,0.0,0.00030188001489893753,1.858253986160789e-05,0.0,0.0,8.477181064901431e-05,0.00011839522420837273,0.014459399089354149,0.003225443071483357
FIS,0.003037099441318734,8.230718090914447e-05,0.0013967387283474076,0.1332188692783587,0.0011066590448509607,0.1304848691664886,0.05264302972687583,0.00210869148555952,0.00028676473332949365,0.0,0.0012292050816231316,0.0,0.0014564031986218382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002499361849955417,0.01487096992852436,0.001816804925645963,0.0,0.0,0.0850523402889096,0.0,0.0,0.005276353418509757,0.0,0.0,0.0,0.0023552427307937563,0.0,0.0,0.0,0.0,0.0,0.0,0.0012382725176887284,0.0,0.0,0.0,0.0,0.0004672142770240153,0.0015035504600654408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012389470760729767,0.00109480003369034
MIN,0.00151892987459277,9.796258632642682e-05,0.0017118713744588413,0.003032626967843645,0.008209253316237135,2.4069205592822934e-05,0.0026407582934721264,0.0036283018815317686,0.00044591408611522086,0.00044587091775483086,0.006164505258958249,0.0,0.0018757731940500732,0.0016315357404427999,0.00255757598115179,0.12595523192641567,0.17474683348870212,0.0013845669636856277,0.0037687542963092163,0.0007982043826070969,0.00011186659076280214,3.9898591275090755e-05,0.0006895253702830489,0.09311182540704688,0.0021742988215886815,0.00758933550163978,0.00021276780440389795,0.003194573880126985,0.0005910876273254488,0.00118223359153501,0.0019213404565600048,0.002220070489478068,0.0004848574071660304,0.005627739520077421,0.002125625994741215,0.00118755607705252,0.00035221590032739355,0.014006900518675248,0.010247019116354898,0.00627301380558926,0.013247270923986464,0.0006106547499003879,0.004027935392382675,0.007696271980927374,0.020243832474604713,0.0013754823442422449,0.021973886303528027,0.006633763770458909,0.008441244057325291,0.0020458569756071467,0.0015454996029771587,0.015177508010070553,0.009017480953708149,0.003676247323572569,0.0020380249921680424,0.007029630108107552,0.00688738621693187,0.014189912177282861,0.0008396998695720637,0.0002386560175072146
MFO,6.894981486037313e-05,1.900184986580476e-05,0.0011947316788604183,0.01182277836360541,0.0007742360617772529,0.10841024802666234,0.05036749728609821,0.0030348917999597548,0.0004412143716450938,0.00029541388276164434,0.003200847548282143,1.5021934333051815e-06,0.001965063898161178,0.0005194882737356657,0.000970112500061853,0.0006921736053097786,0.00011949774855107545,0.0027668940301800097,0.0012214872879793203,0.0006496035031730742,0.0006952592372029555,0.0005510557138061306,0.0012173386522544342,0.004478451256625161,0.0006558874120272507,0.002944210244997576,0.00196771969795267,0.002700185452416045,0.0005996497952554357,0.0004327261124461431,0.02226941065377354,0.0006606625614375461,0.0001452430145428085,0.006562390108169902,0.0006710021959499712,0.00035665914571641756,0.00010733048959403333,0.0063428799468009285,0.0030310884513957024,0.0018565839173597387,0.003923574468949616,0.000187874433351152,0.001198435020988887,0.0022959936173787246,0.0071518416351202775,0.0004241913126579721,0.004057166326706421,0.0019643605852689623,0.0026018003222267614,0.0010589365656130726,0.0018555077997110183,0.005654132933881351,0.002664648732276355,0.0010871280509222063,0.0012276865177543086,0.0021595800209925197,0.002036845655803185,0.004204900170552684,0.001399514667004909,0.0010709252702661852
MBE,9.434620335684138e-05,0.0,0.0005275865027608934,1.549487919152676e-05,0.0001048172155258487,0.023941965343146143,0.036043328094869743,0.0,3.0061654445787295e-05,9.046811728280738e-05,0.0001813504497747333,0.0,4.272588601493863e-05,2.509977092061382e-05,0.00015232258199710105,0.0002254567606767626,7.504846181944788e-05,0.0022276736703446065,7.9449257276127e-05,0.00030401557023499435,0.0004864316492960166,0.0003868736115008856,0.0007450279180790318,7.683742342199415e-05,0.0,0.00041760927933091153,0.0031693464206782643,0.0027192190625939757,0.0003051754277260395,5.491327322465354e-05,0.04463666209596465,0.0,0.0,6.882770160242851e-06,0.0018488066345160054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002563632500141886,0.0,0.0,0.00013300293127830942,0.0,0.0,6.213621716304123e-05,0.0,7.248519581227745e-05,0.0008629787515980603,0.0,0.0,0.00045797231366364916,5.996831282749725e-05,0.0,0.0005015816063238978,0.0,0.003713703764287629
MTO,0.0,0.0,0.0,0.0,0.0,1.431206858937218e-06,0.0,0.097216306573219,0.00015453143598891493,0.0004650498561260961,0.000896913808682903,0.0,0.0002196317082845189,0.00012902495603992975,0.0007830117058926497,0.0011589567381801768,0.0003857853730117551,0.00886605248796822,0.0004084075890524766,0.0015627869955103573,0.0025004938238422057,0.0019887173821142544,0.0038298036536947256,0.0003949815004527465,0.0,0.0021467135727237102,0.0004118779041642635,0.0,0.0015400731881727281,0.0002822807700607613,0.00010859428053248083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003194101935553785,0.0,0.0,0.004436127956725199,0.0,0.0,0.0023541990811329757,0.0003082661172816539,0.0,9.587544284779846e-08,0.0,6.962452574359747e-05
MTE,0.0012981595832517925,1.54776560636325e-07,2.1901907650673353e-05,0.000602736785309845,9.597928916474907e-06,0.0014387687773228237,0.003207855968414161,6.553787029549444e-08,0.3112054979767693,0.00011280886584582922,0.00021756499540810615,4.011687409663474e-09,5.328777354427869e-05,3.131374926861787e-05,0.07256462224912033,0.0002811775271547856,9.360493068037812e-05,0.002150604893172904,9.90675402994706e-05,0.00037942596787725975,0.0006065367340535319,0.024718786084238525,0.0009289850057367446,9.581919945147099e-05,4.945094838614935e-08,0.002142859426021894,0.0015647136846344552,4.687147024226662e-08,0.001139235933327291,6.849367717989733e-05,0.00204044891196936,1.9043667849240783e-08,8.544416781625309e-07,1.5418564471222045e-08,2.873897524817563e-08,2.5837241397005996e-08,2.7993266002320093e-08,4.1453695189469836e-08,1.536621916983218e-07,1.0556412551481641e-08,3.581538950967594e-08,6.250297740088571e-09,1.844564684838133e-05,3.3470524541644664e-08,1.6944853208950642e-07,1.1802971312358318e-05,4.168217927700739e-08,1.0716650269093505e-08,0.002524197793307702,1.4667350268517326e-07,4.083917707075724e-08,0.0010760491395691923,6.3878924322969745e-09,4.3857922056132035e-07,0.0005714616702717506,7.506711842823047e-05,1.4632255603599745e-07,4.912405682844706e-08,8.105531510911281e-09,0.0004913565805128231
MWO,0.0021213596333839865,0.0,0.0044989361643485385,0.0008179830334708394,0.0,5.404006713604431e-09,0.00024274259467494096,0.0,0.0006716062991176807,0.041781286869413244,3.3866021626294796e-06,0.0,8.292939756949659e-07,4.871774644652417e-07,2.9565261576631064e-06,4.376034082559901e-06,1.4566634674417572e-06,3.34767869990003e-05,1.5420813136442618e-06,5.900832128447852e-06,0.0016183233596655145,0.012131418272166442,1.446072210115152e-05,0.001751038748793613,0.00012508658510968016,0.001557728818311196,0.0014816040833478682,0.0,5.815068448251954e-06,1.065846748151099e-06,0.0012297046538131517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2060414744299891e-06,0.0,0.0,1.6750105067518322e-05,0.0,0.0,8.889076767736518e-06,1.1639632363164242e-06,0.0,3.6201023883021266e-10,0.0,2.628910015351107e-07
