region_sector,share_exporting_firms,usd_per_ton,sector,type,region
ARM_ATP,0.6084039456857432,47995.246938899276,ATP,transport,ARM
AZE_ATP,0.3211310664254038,8527.720815619059,ATP,transport,AZE
Africa_ATP,0.3507798744944431,2447381.3800401483,ATP,transport,Africa
America_ATP,0.6119678651057145,83048289.78771599,ATP,transport,America
Asia_ATP,0.1644568737561557,1121352945.9180496,ATP,transport,Asia
CHN_ATP,0.1028813744555075,4642.8896141806745,ATP,transport,CHN
Europe_ATP,0.1865702205932309,189902890.94550696,ATP,transport,Europe
GEO_ATP,0.5237129634425595,16461.739884700837,ATP,transport,GEO
KAZ_ATP,0.2441166542374049,4188641.370263311,ATP,transport,KAZ
KGZ_ATP,0.7717640227025948,20356.00387753537,ATP,transport,KGZ
North America_ATP,0.1964516683860876,374302.1463208725,ATP,transport,North America
Oceania_ATP,0.2657254204113408,18625.925470990216,ATP,transport,Oceania
RUS_ATP,0.7792465388804463,13654.262710443645,ATP,transport,RUS
South America_ATP,0.106869272534135,9954.88791789424,ATP,transport,South America
TJK_ATP,0.8680059512768665,98024.37903017343,ATP,transport,TJK
TKM_ATP,0.565713827300021,77761.7632668885,ATP,transport,TKM
TUR_ATP,0.5257616747766621,5861.18143166147,ATP,transport,TUR
UZB_ATP,0.735444148215105,33521.17523748388,ATP,transport,UZB
ARM_BPH,0.7038996349548464,26078.90443583589,BPH,manufacturing,ARM
AZE_BPH,0.1434199108013817,51683.487840204056,BPH,manufacturing,AZE
Africa_BPH,0.0559444106209194,16294.973270017226,BPH,manufacturing,Africa
America_BPH,0.0912787464860446,51016.570571971264,BPH,manufacturing,America
Asia_BPH,0.1714226092330101,38415.22367414202,BPH,manufacturing,Asia
CHN_BPH,0.0251812061243401,7135.288592259037,BPH,manufacturing,CHN
Europe_BPH,0.3486553531507089,99102.42269558203,BPH,manufacturing,Europe
GEO_BPH,0.6399635834174872,108831.50774506784,BPH,manufacturing,GEO
KAZ_BPH,0.0496768978874762,44532.106780843525,BPH,manufacturing,KAZ
KGZ_BPH,0.4824770715864543,30565.989993306142,BPH,manufacturing,KGZ
North America_BPH,0.2769715866361341,80514.84389592546,BPH,manufacturing,North America
Oceania_BPH,0.2363873633960988,167548.62780466996,BPH,manufacturing,Oceania
RUS_BPH,0.6036196552815102,14241.281599222975,BPH,manufacturing,RUS
South America_BPH,0.0496716601760939,11294.281606270988,BPH,manufacturing,South America
TJK_BPH,0.5364233226091141,34814.79463058476,BPH,manufacturing,TJK
TKM_BPH,0.5359678696881591,96862.4562556394,BPH,manufacturing,TKM
TUR_BPH,0.3650792326415084,24100.276789794945,BPH,manufacturing,TUR
UZB_BPH,0.1784156780274729,15265.232114145228,BPH,manufacturing,UZB
ARM_B_T,0.5486182502329598,47995.246938899276,B,manufacturing,ARM
AZE_B_T,0.1269114300145321,8527.720815619059,B,manufacturing,AZE
Africa_B_T,0.0485813328320857,2447381.3800401483,B,manufacturing,Africa
America_B_T,0.1547510480578656,83048289.78771599,B,manufacturing,America
Asia_B_T,0.0193263619456836,1121352945.9180496,B,manufacturing,Asia
CHN_B_T,0.007542991796536,4642.8896141806745,B,manufacturing,CHN
Europe_B_T,0.1343420657739462,189902890.94550696,B,manufacturing,Europe
GEO_B_T,0.4861840172614701,16461.739884700837,B,manufacturing,GEO
KAZ_B_T,0.0606683361515989,4188641.370263311,B,manufacturing,KAZ
KGZ_B_T,0.2325085164373121,20356.00387753537,B,manufacturing,KGZ
North America_B_T,0.0419143223494982,374302.1463208725,B,manufacturing,North America
Oceania_B_T,0.2109543862940924,18625.925470990216,B,manufacturing,Oceania
RUS_B_T,0.9109590931271728,13654.262710443645,B,manufacturing,RUS
South America_B_T,0.0631587608496211,9954.88791789424,B,manufacturing,South America
