tech_coef,AGR,MIN,MAN,UTI,CON,TRA,ACF,TIC,FIN,PRO,PUB,EDU,HEA,OTH
AGR,0.098,0.004,0.145,0.000,0.027,0.000,0.000,0.023,0.000,0.000,0.000,0.001,0.002,0.000
MIN,0.000,0.153,0.040,0.023,0.012,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000
MAN,0.091,0.072,0.146,0.129,0.180,0.019,0.066,0.189,0.027,0.021,0.042,0.031,0.111,0.072
UTI,0.009,0.023,0.008,0.312,0.001,0.008,0.011,0.012,0.005,0.004,0.009,0.005,0.007,0.007
CON,0.000,0.004,0.001,0.000,0.001,0.000,0.000,0.002,0.010,0.050,0.004,0.003,0.009,0.036
TRA,0.027,0.049,0.081,0.027,0.071,0.015,0.035,0.056,0.012,0.012,0.011,0.012,0.041,0.019
ACF,0.042,0.076,0.019,0.025,0.020,0.111,0.074,0.017,0.023,0.045,0.008,0.006,0.005,0.024
TIC,0.001,0.013,0.000,0.000,0.000,0.000,0.013,0.000,0.010,0.001,0.015,0.006,0.016,0.000
FIN,0.006,0.004,0.012,0.016,0.009,0.044,0.027,0.008,0.160,0.018,0.017,0.001,0.001,0.004
PRO,0.051,0.086,0.032,0.060,0.029,0.067,0.112,0.058,0.120,0.091,0.035,0.022,0.031,0.070
PUB,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EDU,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.001
HEA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
OTH,0.005,0.001,0.001,0.001,0.001,0.005,0.010,0.004,0.003,0.002,0.008,0.007,0.007,0.024
IMP,0.048,0.044,0.131,0.023,0.033,0.046,0.105,0.047,0.040,0.012,0.027,0.041,0.086,0.102
