sector,trigram_desc,trigram_desc_en,description,output,final_demand,pc_exports,usd_per_ton,supply_data,cutoff,type
ADM,act. profesionales/tecnicas/admin,"professional, technical and admin. activities","Actividades profesionales, técnicas y administrativas",3443209,630490,0.001915655,,ADM,172160.45,agriculture
ADP,admin. pública,"public admin, defense, social security","Administración pública, defensa; planes de seguridad social obligatoria",914238,8329369,0.001478827,,ADP,45711.9,service
AGU,agua,water ,"Captación, depuración y distribución de agua; y saneamiento",2359305,215956,7.71414E-05,680.7432305,AGU,117965.25,utility
ALD,alimentos diversos,diverse food products,Elaboración de otros productos alimenticios diversos,1899389,845013,0.222841661,822.1983301,ALD,94969.45,manufacturing
ASO,actividades asociativas,"associations, leisure, sports, culture",Servicios de asociaciones; esparcimiento; culturales y deportivos,368324,2079120,0.137642402,,ASO,18416.2,service
AYG,aceites y grasas,vegetable/animal oils and fats,Elaboración de aceites y grasas origen vegetal y animal,2587150,911581,0.124545156,870.6725082,AYG,129357.5,agriculture
AZU,azúcar,sugars,Elaboración y refinación de azúcar,7739942,361961,0.008548643,831.4161104,AZU,386997.1,agriculture
BAL,bebidas alcohólicas,,Elaboración bebidas alcohólicas ,308595,1310987,0.570151817,1298.267257,BAL,15429.75,manufacturing
BNA,bebidas no alcohólicas,non-alcoholic beverages,Elaboración bebidas no alcohólicas,362450,736151,0.009948958,3032.433087,BNA,18122.5,manufacturing
CAN,comida para animales,food for animals,Elaboración de alimentos preparados para animales,3071697,209023,0.006616538,1340.624275,CAN,153584.85,agriculture
CAR,carne,meat processing and conservation/packing,Procesamiento y conservación de carne,5015872,2291591,0.00286052,901.3930519,CAR,250793.6,manufacturing
CAU,caucho,rubber,Fabricación de productos de caucho,1376520,129166,0.03616148,3483.704493,CAU,68826,manufacturing
CEM,cemento/hormigón/piedra,cement/stone ,"Fabricación de cemento, artículos de hormigón y piedra",1325291,-86321,0.015283436,217.2395585,CEM,66264.55,mining
CER,cereales,cereals,Cultivo de cereales,1320503,74854,0.00439378,272.8370528,CER,66025.15,agriculture
CHO,cacao/chocolate,chocolates and sweets,"Elaboración de cacao, chocolate y productos de confitería",1020270,530519,0.218340243,2404.664941,CHO,51013.5,manufacturing
CIN,cultivos industriales,industrial crops,Cultivo oleaginosas e industriales,144200,172363,0.86371706,2513.549895,CIN,7210,agriculture
COM,comercio,retail,Comercio al por mayor y al por menor; incluido comercio de vehículos automotores y motocicletas,510364,6861686,1.483405961,,COM,25518.2,trade
CON,construcción,construction,Construcción,816498,19071683,0.007143924,,CON,40824.9,service
CUE,Cueros,leather products,"Fabricación de cuero, productos de cuero y calzado",537951,283927,0.051534433,4909.827217,CUE,26897.55,manufacturing
CUL,apoyo a cultivos,support activities for agriculture,Actividades de apoyo a los cultivos,899339,7406,0.000908445,,CUL,44966.95,agriculture
DEM,derivados de metales,"manufacturing of products derived from metals, except equipment","Fabricación de productos derivados del metal, excepto maquinaria y equipo",1160944,847874,0.048120323,4218.405831,DEM,58047.2,manufacturing
DOM,servicio doméstico,private homes with domestic service,Hogares privados con servicio doméstico,1051819,503284,0,,DOM,52590.95,service
EDU,educación,education,Servicios de enseñanza público (no de mercado),101033,6329676,0.001880574,,EDU,5051.65,service
ELE,electricidad,electricity generation/distribution,"Generación, captación y distribución de energía eléctrica",808123,1446645,0.046085806,,ELE,40406.15,utility
FID,fideos,noodles and other flour products,Elaboración de  fideos y de otros productos farináceos,878871,123029,0.01060679,3651.114766,FID,43943.55,manufacturing
FIN,finanzas,finance,Actividades de servicios financieros,390246,1649266,0.030303962,,FIN,19512.3,service
FRT,fruta tropical,tropical fruit,"Cultivo de banano, café y cacao",1505343,3031709,1.735744611,446.9009605,FRT,75267.15,agriculture
