region_sector,trigram_desc,trigram_desc_en,description,type,output,final_demand,share_exporting_firms,usd_per_ton,sector,cutoff
ECU_ADM,act. profesionales/tecnicas/admin,"professional, technical and admin. activities","Actividades profesionales, técnicas y administrativas",service,3443209,630490,0.000781964,,ADM,172160.45
ECU_ADP,admin. pública,"public admin, defense, social security","Administración pública, defensa; planes de seguridad social obligatoria",service,914238,8329369,0.00016111,,ADP,45711.9
ECU_AGU,agua,water ,"Captación, depuración y distribución de agua; y saneamiento",utility,2359305,215956,0.00031586,680.7432305,AGU,117965.25
ECU_ALD,alimentos diversos,diverse food products,Elaboración de otros productos alimenticios diversos,manufacturing,1899389,845013,0.470638403,822.1983301,ALD,94969.45
ECU_ASO,actividades asociativas,"associations, leisure, sports, culture",Servicios de asociaciones; esparcimiento; culturales y deportivos,service,368324,2079120,0.018601646,,ASO,18416.2
ECU_AYG,aceites y grasas,vegetable/animal oils and fats,Elaboración de aceites y grasas origen vegetal y animal,agriculture,2587150,911581,0.234080871,870.6725082,AYG,129357.5
ECU_AZU,azúcar,sugars,Elaboración y refinación de azúcar,agriculture,7739942,361961,0.12964447,831.4161104,AZU,386997.1
ECU_BAL,bebidas alcohólicas,,Elaboración bebidas alcohólicas ,manufacturing,308595,1310987,0.12326034,1298.267257,BAL,15429.75
ECU_BNA,bebidas no alcohólicas,non-alcoholic beverages,Elaboración bebidas no alcohólicas,manufacturing,362450,736151,0.004591706,3032.433087,BNA,18122.5
ECU_CAN,comida para animales,food for animals,Elaboración de alimentos preparados para animales,agriculture,3071697,209023,0.037780393,1340.624275,CAN,153584.85
ECU_CAR,carne,meat processing and conservation/packing,Procesamiento y conservación de carne,manufacturing,5015872,2291591,0.004671034,901.3930519,CAR,250793.6
ECU_CAU,caucho,rubber,Fabricación de productos de caucho,manufacturing,1376520,129166,0.279605226,3483.704493,CAU,68826.0
ECU_CEM,cemento/hormigón/piedra,cement/stone ,"Fabricación de cemento, artículos de hormigón y piedra",mining,1325291,0,0.012100361,217.2395585,CEM,66264.55
ECU_CER,cereales,cereals,Cultivo de cereales,agriculture,1320503,74854,0.006346269,272.8370528,CER,66025.15
ECU_CHO,cacao/chocolate,chocolates and sweets,"Elaboración de cacao, chocolate y productos de confitería",manufacturing,1020270,530519,0.272831042,2404.664941,CHO,51013.5
ECU_CIN,cultivos industriales,industrial crops,Cultivo oleaginosas e industriales,agriculture,144200,172363,0.065572666,2513.549895,CIN,7210.0
ECU_COM,comercio,retail,Comercio al por mayor y al por menor; incluido comercio de vehículos automotores y motocicletas,trade,510364,6861686,0.05705224,,COM,25518.2
ECU_CON,construcción,construction,Construcción,construction,816498,19071683,0.000288725,,CON,40824.9
ECU_CUE,Cueros,leather products,"Fabricación de cuero, productos de cuero y calzado",manufacturing,537951,283927,0.071039624,4909.827217,CUE,26897.55
ECU_CUL,apoyo a cultivos,support activities for agriculture,Actividades de apoyo a los cultivos,service,899339,7406,0.002218156,,CUL,44966.95
ECU_DEM,derivados de metales,"manufacturing of products derived from metals, except equipment","Fabricación de productos derivados del metal, excepto maquinaria y equipo",manufacturing,1160944,847874,0.043856688,4218.405831,DEM,58047.2
ECU_DOM,servicio doméstico,private homes with domestic service,Hogares privados con servicio doméstico,service,1051819,503284,0.0,,DOM,52590.95
ECU_EDU,educación,education,Servicios de enseñanza público (no de mercado),service,101033,6329676,2.99173e-05,,EDU,5051.65
ECU_ELE,electricidad,electricity generation/distribution,"Generación, captación y distribución de energía eléctrica",utility,808123,1446645,0.010093159,,ELE,40406.15
ECU_FID,fideos,noodles and other flour products,Elaboración de  fideos y de otros productos farináceos,manufacturing,878871,123029,0.064646773,3651.114766,FID,43943.55
ECU_FIN,finanzas,finance,Actividades de servicios financieros,service,390246,1649266,0.002882777,,FIN,19512.3
ECU_FRT,fruta tropical,tropical fruit,"Cultivo de banano, café y cacao",agriculture,1505343,3031709,0.758853442,446.9009605,FRT,75267.15
ECU_FRV,frutas y vegetales,fruits and vegetables,"Cultivo de tubérculos, vegetales, melones y frutas",agriculture,1315281,2233676,0.430861207,2263.52426,FRV,65764.05
ECU_GAN,ganado ,livestock,"Cría de ganado, otros animales; productos animales; y actividades de apoyo",agriculture,3431665,1040174,0.000599501,31112.57177,GAN,171583.25
ECU_HIL,hilados,fabrics and thread,"Fabricación de hilos, hilados; tejidos y confecciones",manufacturing,429096,362490,0.106355097,3187.624698,HIL,21454.8
ECU_HOT,alojamiento/hotelería,hotels and accomodation,Alojamiento,service,1939713,349327,0.016326012,,HOT,96985.65
IMP,importaciones,imports,imports,imports,18884441,7967855,,3516.061166,IMP,
ECU_INM,bienes inmuebles,real estate,Actividades inmobiliarias ,service,178026,5323485,0.000161125,3115.139067,INM,8901.3
ECU_LAC,lácteos,dairy,Elaboración de productos lácteos,agriculture,1124070,1181730,0.016084015,456.9726079,LAC,56203.5
ECU_MAD,maderas,wood,Producción de madera y de productos de madera,manufacturing,499309,169449,0.206479325,5174.883605,MAD,24965.45
ECU_MAN,otras industrias manufactureras,other unclassified manufacturing,Industrias manufactureras ncp,manufacturing,1673916,130386,0.026551589,11522.42331,MAN,83695.8
ECU_MAQ,maquinaria y equipo,manuf. of equipment,Fabricación de maquinaria y equipo,manufacturing,1277639,1786649,0.158028166,1147.052083,MAQ,63881.95
