,,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,AFR,ASI,CAR,COL,EUR,NAM,OCE,PER,SAM
,,ADM,ADP,AGU,ALD,ASO,AYG,AZU,BAL,BNA,CAN,CAR,CAU,CEM,CER,CHO,CIN,COM,CON,CUE,CUL,DEM,DOM,EDU,ELE,FID,FIN,FRT,FRV,GAN,HIL,HOT,INM,LAC,MAD,MAN,MAQ,MET,MIP,MOL,MUE,PAN,PAP,PES,PLS,POS,PPR,QU1,QU2,REF,REP,RES,SAL,SEG,SIL,TAB,TEL,TRA,VES,VID,final_demand,exports,exports,exports,exports,exports,exports,exports,exports,exports
ECU,ADM,738357.0,272851.0,39042.0,60165.0,199431.0,30059.0,11125.0,16317.0,94448.0,3864.0,20924.0,7324.0,96303.0,12827.0,51733.0,69464.0,671824.0,562782.0,23299.0,9645.0,37616.0,0.0,128732.0,196229.0,8096.0,517554.0,23893.0,180721.0,199232.0,23647.0,40048.0,273837.0,78019.0,33115.0,6978.0,53955.0,55525.0,645229.0,13748.0,17951.0,18707.0,50538.0,154686.0,14801.0,109137.0,65427.0,14611.0,95457.0,45199.0,42467.0,84503.0,144843.0,49915.0,79172.0,14815.0,638141.0,613460.0,13200.0,29687.0,623894.0,87.61512166046386,912.6894300679847,461.5437158319825,289.2654157277343,1713.9944041686524,2625.1488280368676,28.57458593087515,395.67518216689257,81.4933164085468
ECU,ADP,2413.0,2237.0,344.0,197.0,1556.0,119.0,41.0,397.0,259.0,25.0,4545.0,19.0,1151.0,658.0,87.0,225.0,4120.0,12881.0,134.0,159.0,273.0,0.0,1095.0,2357.0,26.0,1618.0,153.0,967.0,2060.0,143.0,452.0,4377.0,1475.0,252.0,492.0,435.0,107.0,3357.0,67.0,144.0,125.0,462.0,697.0,208.0,148.0,651.0,77.0,270.0,86.0,122.0,1132.0,1525.0,308.0,74.0,12.0,3415.0,1439.0,125.0,108.0,8328016.0,17.95870898801503,187.0764265391018,94.603866556222,59.29151638324693,351.32207920497547,538.0838713623173,5.857010336346756,81.1026146588294,16.703905970945314
ECU,AGU,19535.0,28355.0,4338.0,2007.0,3489.0,1359.0,148.0,6682.0,4116.0,316.0,20815.0,135.0,1830.0,13556.0,351.0,2378.0,13166.0,3208.0,275.0,2937.0,2460.0,0.0,12582.0,30269.0,237.0,2385.0,1565.0,17280.0,35407.0,1213.0,5557.0,4188.0,1508.0,2305.0,300.0,4061.0,1107.0,48465.0,809.0,949.0,738.0,3519.0,8669.0,1923.0,845.0,10479.0,499.0,1409.0,214.0,585.0,9347.0,11877.0,267.0,600.0,29.0,3661.0,2488.0,696.0,758.0,215774.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,ALD,100.0,302.0,8.0,300.0,1567.0,413.0,133.0,796.0,256.0,4599.0,968.0,12.0,297.0,17.0,375.0,32.0,184.0,1941.0,42.0,5.0,106.0,0.0,1682.0,127.0,3996.0,22.0,226.0,23.0,1170.0,100.0,2600.0,1126.0,606.0,387.0,74.0,229.0,156.0,340.0,7498.0,115.0,5313.0,104.0,161.0,93.0,2.0,5556.0,39.0,423.0,114.0,16.0,6722.0,1436.0,7.0,16.0,11.0,190.0,1057.0,109.0,26.0,421749.0,1424.4065604009313,101354.40957924513,20075.972005422984,12221.22185886395,186201.9828934566,87955.60542248987,6448.185633841261,6304.672992998259,1276.543053281078
ECU,ASO,23339.0,66651.0,608.0,1052.0,76207.0,660.0,192.0,349.0,1531.0,170.0,1325.0,128.0,1676.0,224.0,983.0,1101.0,66235.0,16238.0,415.0,156.0,744.0,0.0,47418.0,3200.0,155.0,17155.0,608.0,2783.0,36850.0,467.0,5989.0,8386.0,1524.0,974.0,215.0,1165.0,1071.0,10168.0,418.0,444.0,491.0,921.0,32621.0,360.0,1663.0,28967.0,267.0,1627.0,849.0,682.0,9272.0,33615.0,1362.0,1224.0,229.0,9820.0,122478.0,370.0,491.0,2028423.0,673.4117378442292,7014.950884802399,3547.435076036085,2223.3003003561166,13173.79840935994,20176.951202999557,219.6248912882925,3041.168088283043,626.3594090303362
ECU,AYG,253.0,2572.0,37.0,5575.0,5108.0,200014.0,1012.0,1432.0,214.0,26351.0,21138.0,67.0,529.0,49.0,3762.0,111.0,2165.0,11058.0,137.0,10.0,453.0,0.0,3401.0,500.0,228.0,68.0,824.0,55.0,3869.0,656.0,560.0,47.0,43144.0,833.0,278.0,1448.0,463.0,1811.0,2396.0,1024.0,24673.0,1833.0,570.0,550.0,32.0,56860.0,660.0,3431.0,795.0,59.0,8798.0,21098.0,15.0,35.0,78.0,140.0,938.0,307.0,412.0,589364.0,16.08411878029943,2590.955723849541,19607.30336761343,164558.39819875796,43826.654581441864,60547.50693110125,1533.9138689588638,7495.938956938671,22040.24425255811
ECU,AZU,104.0,709.0,13.0,4949.0,2322.0,18.0,126.0,8194.0,49958.0,93.0,168.0,4.0,120.0,3.0,21425.0,27.0,274.0,93.0,6.0,4.0,20.0,0.0,877.0,3740.0,2416.0,62.0,25.0,26.0,724.0,34.0,486.0,23.0,15016.0,25.0,48.0,40.0,30.0,428.0,2226.0,9.0,23849.0,37.0,1039.0,62.0,2.0,417.0,33.0,3797.0,11.0,3.0,3444.0,384.0,9.0,1.0,0.0,283.0,128.0,10.0,26.0,295796.0,63.926669690600455,1633.1085075461658,4341.404751503189,32755.28303613971,4232.301269742052,13554.593067366131,245.4346167032403,618.3128072573155,8721.635274051589
ECU,BAL,187.0,34.0,3.0,63.0,9018.0,54.0,23.0,36253.0,24.0,353.0,240.0,4.0,61.0,5.0,59.0,9.0,64.0,694.0,14.0,2.0,38.0,0.0,132.0,46.0,230.0,8.0,59.0,8.0,104.0,26.0,8150.0,86.0,84.0,113.0,26.0,81.0,56.0,77.0,537.0,40.0,169.0,78.0,55.0,31.0,1.0,605.0,31.0,7914.0,3287.0,6.0,46779.0,166.0,2.0,5.0,1.0,30.0,163.0,39.0,9.0,1135041.0,68.36718909625874,2075.2691318223724,52.02912500731661,150059.74920529092,694.8319277099258,5958.674783444636,37.46173570247189,16999.616901926078,0.0
ECU,BNA,293.0,59.0,5.0,57.0,3865.0,87.0,9.0,94.0,41.0,48.0,368.0,7.0,89.0,9.0,83.0,16.0,112.0,1201.0,25.0,3.0,66.0,0.0,1741.0,80.0,13.0,14.0,103.0,14.0,97.0,45.0,1196.0,23.0,146.0,195.0,45.0,140.0,98.0,119.0,89.0,70.0,87.0,61.0,97.0,54.0,1.0,1676.0,18.0,72.0,71.0,10.0,35549.0,385.0,4.0,10.0,2.0,36.0,197.0,68.0,15.0,732545.0,4.713961423574486,110.47351022489867,11.376557230747194,13.01168825013544,2601.304958108638,774.2429894551271,44.047882633764836,46.53351340870031,0.2949392644143006
