tech_coef,AGR,MIN,MAN,UTI,CON,TRA,ACF,TIC,FIN,PRO,PUB,EDU,HEA,OTH
AGR,0.095,0.002,0.140,0.000,0.025,0.000,0.000,0.021,0.000,0.000,0.000,0.001,0.001,0.001
MIN,0.000,0.134,0.029,0.015,0.011,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000
MAN,0.101,0.063,0.142,0.098,0.171,0.023,0.070,0.193,0.028,0.021,0.043,0.039,0.111,0.080
UTI,0.009,0.017,0.008,0.303,0.001,0.008,0.011,0.012,0.005,0.004,0.009,0.008,0.007,0.008
CON,0.000,0.002,0.001,0.000,0.001,0.000,0.000,0.002,0.010,0.043,0.004,0.005,0.008,0.036
TRA,0.030,0.039,0.079,0.024,0.067,0.017,0.034,0.057,0.012,0.011,0.011,0.013,0.039,0.021
ACF,0.044,0.067,0.020,0.026,0.020,0.117,0.074,0.017,0.023,0.042,0.008,0.008,0.005,0.026
TIC,0.001,0.009,0.000,0.001,0.000,0.000,0.013,0.000,0.010,0.001,0.014,0.009,0.015,0.001
FIN,0.007,0.003,0.014,0.017,0.010,0.049,0.034,0.008,0.156,0.020,0.019,0.001,0.001,0.005
PRO,0.061,0.084,0.035,0.069,0.031,0.076,0.125,0.067,0.134,0.095,0.039,0.033,0.031,0.084
PUB,0.001,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
EDU,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.000,0.001
HEA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
OTH,0.005,0.001,0.001,0.001,0.001,0.005,0.010,0.004,0.003,0.002,0.008,0.012,0.007,0.024
IMP,0.051,0.036,0.153,0.033,0.036,0.047,0.090,0.048,0.028,0.011,0.017,0.038,0.076,0.040
