from,to,sector,transport_mode
domestic,domestic,all,roads
domestic,VNM,all,roads
domestic,THA,all,roads
domestic,LAO,all,roads
domestic,AFR,all,intl_multimodes
domestic,AME,all,intl_multimodes
domestic,ASI,all,intl_multimodes
domestic,EUR,all,intl_multimodes
domestic,OCE,all,intl_multimodes
VNM,domestic,all,roads
THA,domestic,all,roads
LAO,domestic,all,roads
AFR,domestic,all,intl_multimodes
AME,domestic,all,intl_multimodes
ASI,domestic,all,intl_multimodes
EUR,domestic,all,intl_multimodes
OCE,domestic,all,intl_multimodes
VNM,THA,all,roads
THA,VNM,all,roads
