,sector,supply_data,cutoff,coverage
0,AFG_Agriculture,USD,0,1
1,AFG_Fishing,USD,0,1
2,AFG_Mining and Quarrying,USD,0,1
3,AFG_Food & Beverages,USD,0,1
4,AFG_Textiles and Wearing Apparel,USD,0,1
5,AFG_Wood and Paper,USD,0,1
6,"AFG_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
7,AFG_Metal Products,USD,0,1
8,AFG_Electrical and Machinery,USD,0,1
9,AFG_Transport Equipment,USD,0,1
10,AFG_Other Manufacturing,USD,0,1
11,AFG_Recycling,USD,0,1
12,"AFG_Electricity, Gas and Water",USD,0,1
13,AFG_Construction,USD,0,1
14,AFG_Maintenance and Repair,USD,0,1
15,AFG_Wholesale Trade,USD,0,1
16,AFG_Retail Trade,USD,0,1
17,AFG_Hotels and Restraurants,USD,0,1
18,AFG_Transport,USD,0,1
19,AFG_Post and Telecommunications,USD,0,1
20,AFG_Finacial Intermediation and Business Activities,USD,0,1
21,AFG_Public Administration,USD,0,1
22,"AFG_Education, Health and Other Services",USD,0,1
23,AFG_Private Households,USD,0,1
24,AFG_Others,USD,0,1
25,AFG_Re-export & Re-import,USD,0,1
26,ALB_Agriculture,USD,0,1
27,ALB_Fishing,USD,0,1
28,ALB_Mining and Quarrying,USD,0,1
29,ALB_Food & Beverages,USD,0,1
30,ALB_Textiles and Wearing Apparel,USD,0,1
31,ALB_Wood and Paper,USD,0,1
32,"ALB_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
33,ALB_Metal Products,USD,0,1
34,ALB_Electrical and Machinery,USD,0,1
35,ALB_Transport Equipment,USD,0,1
36,ALB_Other Manufacturing,USD,0,1
37,ALB_Recycling,USD,0,1
38,"ALB_Electricity, Gas and Water",USD,0,1
39,ALB_Construction,USD,0,1
40,ALB_Maintenance and Repair,USD,0,1
41,ALB_Wholesale Trade,USD,0,1
42,ALB_Retail Trade,USD,0,1
43,ALB_Hotels and Restraurants,USD,0,1
44,ALB_Transport,USD,0,1
45,ALB_Post and Telecommunications,USD,0,1
46,ALB_Finacial Intermediation and Business Activities,USD,0,1
47,ALB_Public Administration,USD,0,1
48,"ALB_Education, Health and Other Services",USD,0,1
49,ALB_Private Households,USD,0,1
50,ALB_Others,USD,0,1
51,ALB_Re-export & Re-import,USD,0,1
52,DZA_Agriculture,USD,0,1
53,DZA_Fishing,USD,0,1
54,DZA_Mining and Quarrying,USD,0,1
55,DZA_Food & Beverages,USD,0,1
56,DZA_Textiles and Wearing Apparel,USD,0,1
57,DZA_Wood and Paper,USD,0,1
58,"DZA_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
59,DZA_Metal Products,USD,0,1
60,DZA_Electrical and Machinery,USD,0,1
61,DZA_Transport Equipment,USD,0,1
62,DZA_Other Manufacturing,USD,0,1
63,DZA_Recycling,USD,0,1
64,"DZA_Electricity, Gas and Water",USD,0,1
65,DZA_Construction,USD,0,1
66,DZA_Maintenance and Repair,USD,0,1
67,DZA_Wholesale Trade,USD,0,1
68,DZA_Retail Trade,USD,0,1
69,DZA_Hotels and Restraurants,USD,0,1
70,DZA_Transport,USD,0,1
71,DZA_Post and Telecommunications,USD,0,1
72,DZA_Finacial Intermediation and Business Activities,USD,0,1
73,DZA_Public Administration,USD,0,1
74,"DZA_Education, Health and Other Services",USD,0,1
75,DZA_Private Households,USD,0,1
76,DZA_Others,USD,0,1
77,DZA_Re-export & Re-import,USD,0,1
78,AND_Agriculture,USD,0,1
79,AND_Fishing,USD,0,1
80,AND_Mining and Quarrying,USD,0,1
81,AND_Food & Beverages,USD,0,1
82,AND_Textiles and Wearing Apparel,USD,0,1
83,AND_Wood and Paper,USD,0,1
84,"AND_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
85,AND_Metal Products,USD,0,1
86,AND_Electrical and Machinery,USD,0,1
87,AND_Transport Equipment,USD,0,1
88,AND_Other Manufacturing,USD,0,1
89,AND_Recycling,USD,0,1
90,"AND_Electricity, Gas and Water",USD,0,1
91,AND_Construction,USD,0,1
92,AND_Maintenance and Repair,USD,0,1
93,AND_Wholesale Trade,USD,0,1
94,AND_Retail Trade,USD,0,1
95,AND_Hotels and Restraurants,USD,0,1
96,AND_Transport,USD,0,1
97,AND_Post and Telecommunications,USD,0,1
98,AND_Finacial Intermediation and Business Activities,USD,0,1
99,AND_Public Administration,USD,0,1
100,"AND_Education, Health and Other Services",USD,0,1
101,AND_Private Households,USD,0,1
102,AND_Others,USD,0,1
103,AND_Re-export & Re-import,USD,0,1
104,AGO_Agriculture,USD,0,1
105,AGO_Fishing,USD,0,1
106,AGO_Mining and Quarrying,USD,0,1
107,AGO_Food & Beverages,USD,0,1
108,AGO_Textiles and Wearing Apparel,USD,0,1
109,AGO_Wood and Paper,USD,0,1
110,"AGO_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
111,AGO_Metal Products,USD,0,1
112,AGO_Electrical and Machinery,USD,0,1
113,AGO_Transport Equipment,USD,0,1
114,AGO_Other Manufacturing,USD,0,1
115,AGO_Recycling,USD,0,1
116,"AGO_Electricity, Gas and Water",USD,0,1
117,AGO_Construction,USD,0,1
118,AGO_Maintenance and Repair,USD,0,1
119,AGO_Wholesale Trade,USD,0,1
120,AGO_Retail Trade,USD,0,1
121,AGO_Hotels and Restraurants,USD,0,1
122,AGO_Transport,USD,0,1
123,AGO_Post and Telecommunications,USD,0,1
124,AGO_Finacial Intermediation and Business Activities,USD,0,1
125,AGO_Public Administration,USD,0,1
126,"AGO_Education, Health and Other Services",USD,0,1
127,AGO_Private Households,USD,0,1
128,AGO_Others,USD,0,1
129,AGO_Re-export & Re-import,USD,0,1
130,ATG_Agriculture,USD,0,1
131,ATG_Fishing,USD,0,1
132,ATG_Mining and Quarrying,USD,0,1
133,ATG_Food & Beverages,USD,0,1
134,ATG_Textiles and Wearing Apparel,USD,0,1
135,ATG_Wood and Paper,USD,0,1
136,"ATG_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
137,ATG_Metal Products,USD,0,1
138,ATG_Electrical and Machinery,USD,0,1
139,ATG_Transport Equipment,USD,0,1
140,ATG_Other Manufacturing,USD,0,1
141,ATG_Recycling,USD,0,1
142,"ATG_Electricity, Gas and Water",USD,0,1
143,ATG_Construction,USD,0,1
144,ATG_Maintenance and Repair,USD,0,1
145,ATG_Wholesale Trade,USD,0,1
146,ATG_Retail Trade,USD,0,1
147,ATG_Hotels and Restraurants,USD,0,1
148,ATG_Transport,USD,0,1
149,ATG_Post and Telecommunications,USD,0,1
150,ATG_Finacial Intermediation and Business Activities,USD,0,1
151,ATG_Public Administration,USD,0,1
152,"ATG_Education, Health and Other Services",USD,0,1
153,ATG_Private Households,USD,0,1
154,ATG_Others,USD,0,1
155,ATG_Re-export & Re-import,USD,0,1
156,ARG_Agriculture,USD,0,1
157,ARG_Fishing,USD,0,1
158,ARG_Mining and Quarrying,USD,0,1
159,ARG_Food & Beverages,USD,0,1
160,ARG_Textiles and Wearing Apparel,USD,0,1
161,ARG_Wood and Paper,USD,0,1
162,"ARG_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
163,ARG_Metal Products,USD,0,1
164,ARG_Electrical and Machinery,USD,0,1
165,ARG_Transport Equipment,USD,0,1
166,ARG_Other Manufacturing,USD,0,1
167,ARG_Recycling,USD,0,1
168,"ARG_Electricity, Gas and Water",USD,0,1
169,ARG_Construction,USD,0,1
170,ARG_Maintenance and Repair,USD,0,1
171,ARG_Wholesale Trade,USD,0,1
172,ARG_Retail Trade,USD,0,1
173,ARG_Hotels and Restraurants,USD,0,1
174,ARG_Transport,USD,0,1
175,ARG_Post and Telecommunications,USD,0,1
176,ARG_Finacial Intermediation and Business Activities,USD,0,1
177,ARG_Public Administration,USD,0,1
178,"ARG_Education, Health and Other Services",USD,0,1
179,ARG_Private Households,USD,0,1
180,ARG_Others,USD,0,1
181,ARG_Re-export & Re-import,USD,0,1
182,ARM_Agriculture,USD,0,1
183,ARM_Fishing,USD,0,1
184,ARM_Mining and Quarrying,USD,0,1
185,ARM_Food & Beverages,USD,0,1
186,ARM_Textiles and Wearing Apparel,USD,0,1
187,ARM_Wood and Paper,USD,0,1
188,"ARM_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
189,ARM_Metal Products,USD,0,1
190,ARM_Electrical and Machinery,USD,0,1
191,ARM_Transport Equipment,USD,0,1
192,ARM_Other Manufacturing,USD,0,1
193,ARM_Recycling,USD,0,1
194,"ARM_Electricity, Gas and Water",USD,0,1
195,ARM_Construction,USD,0,1
196,ARM_Maintenance and Repair,USD,0,1
197,ARM_Wholesale Trade,USD,0,1
198,ARM_Retail Trade,USD,0,1
199,ARM_Hotels and Restraurants,USD,0,1
200,ARM_Transport,USD,0,1
201,ARM_Post and Telecommunications,USD,0,1
202,ARM_Finacial Intermediation and Business Activities,USD,0,1
203,ARM_Public Administration,USD,0,1
204,"ARM_Education, Health and Other Services",USD,0,1
205,ARM_Private Households,USD,0,1
206,ARM_Others,USD,0,1
207,ARM_Re-export & Re-import,USD,0,1
208,ABW_Agriculture,USD,0,1
209,ABW_Fishing,USD,0,1
210,ABW_Mining and Quarrying,USD,0,1
211,ABW_Food & Beverages,USD,0,1
212,ABW_Textiles and Wearing Apparel,USD,0,1
213,ABW_Wood and Paper,USD,0,1
214,"ABW_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
215,ABW_Metal Products,USD,0,1
216,ABW_Electrical and Machinery,USD,0,1
217,ABW_Transport Equipment,USD,0,1
218,ABW_Other Manufacturing,USD,0,1
219,ABW_Recycling,USD,0,1
220,"ABW_Electricity, Gas and Water",USD,0,1
221,ABW_Construction,USD,0,1
222,ABW_Maintenance and Repair,USD,0,1
223,ABW_Wholesale Trade,USD,0,1
224,ABW_Retail Trade,USD,0,1
225,ABW_Hotels and Restraurants,USD,0,1
