labels,sector,sector_type,essential,usd_per_ton,output,final_demand,share_exporting_firms,cutoff,supply_data,country,country_ISO
AFG_Agriculture,AFG_Agriculture,Agriculture,True,,4520458.257653655,2982180.360723511,0.24753687191018434,0,USD,Afghanistan,AFG
AFG_Fishing,AFG_Fishing,Agriculture,True,,184252.03770488757,102197.64835948231,0.1785515039681588,0,USD,Afghanistan,AFG
AFG_Mining and Quarrying,AFG_Mining and Quarrying,Mining,True,,279435.99067033076,22295.616479151846,0.1461588556334648,0,USD,Afghanistan,AFG
AFG_Food & Beverages,AFG_Food & Beverages,Agriculture,True,,1331928.9120588014,849669.0949952572,0.0045922885059163174,0,USD,Afghanistan,AFG
AFG_Textiles and Wearing Apparel,AFG_Textiles and Wearing Apparel,Manufacturing,True,,302167.71576629946,149490.86066414748,0.07802644899492304,0,USD,Afghanistan,AFG
AFG_Wood and Paper,AFG_Wood and Paper,Manufacturing,True,,798755.3810921311,72214.75248146329,0.06901320340689931,0,USD,Afghanistan,AFG
"AFG_Petroleum, Chemical and Non-Metallic Mineral Products","AFG_Petroleum, Chemical and Non-Metallic Mineral Products",Utility,True,,1963651.8608648689,384283.36883266276,0.014442104159812874,0,USD,Afghanistan,AFG
AFG_Metal Products,AFG_Metal Products,Manufacturing,True,,831319.8357179717,30121.275948163562,0.05600016572394162,0,USD,Afghanistan,AFG
AFG_Electrical and Machinery,AFG_Electrical and Machinery,Utility,True,,2146565.9970694436,722232.3798543306,0.05984481087909418,0,USD,Afghanistan,AFG
AFG_Transport Equipment,AFG_Transport Equipment,Utility,True,,999794.8785507262,496008.2852877991,0.06173886321802654,0,USD,Afghanistan,AFG
AFG_Other Manufacturing,AFG_Other Manufacturing,Manufacturing,True,,350788.8133706875,135386.6741926324,0.07788213699159598,0,USD,Afghanistan,AFG
AFG_Recycling,AFG_Recycling,Utility,True,,109201.11333285367,78956.09449691696,0.10358427686958048,0,USD,Afghanistan,AFG
