,sector,export_value,output,final_demand,exporting_firms_share,usd_per_ton,supply_data_currency,cutoff,sector_code,type
0,ARM_ATP,88.82238722730204,145.97223342637827,75.0967556195955,0.6084882387724786,1000,USD,0,ATP,transport
1,AZE_ATP,268.4887071037043,835.3419507525336,689.3112887359034,0.32141173666883505,1000,USD,0,ATP,transport
2,Africa_ATP,10712.829969045266,30576.490149995465,15440.254664391074,0.3503616640265971,1000,USD,0,ATP,transport
3,America_ATP,3087.29331511462,5050.259896258775,2306.2019490427283,0.61131374989269,1000,USD,0,ATP,transport
4,Asia_ATP,32456.76293367729,197319.8164665914,100459.52847536583,0.16448810623728005,1000,USD,0,ATP,transport
5,CHN_ATP,10305.472183556334,100143.75809509426,19440.11135330439,0.10290678500172211,1000,USD,0,ATP,transport
6,Europe_ATP,38759.64635233185,197653.06463522898,100113.0464055679,0.19609939478481261,1000,USD,0,ATP,transport
7,GEO_ATP,154.14495668385646,294.28121039921217,127.37896919788724,0.5238015586341667,1000,USD,0,ATP,transport
8,KAZ_ATP,390.4501373335382,1598.7229211871727,929.1183089564493,0.24422627095607,1000,USD,0,ATP,transport
9,KGZ_ATP,103.24870726990741,133.77556665162746,64.09531582211527,0.7718054189879324,1000,USD,0,ATP,transport
10,North America_ATP,46771.57570502726,237965.92366027684,129184.24944583392,0.19654736689022312,1000,USD,0,ATP,transport
11,Oceania_ATP,7290.441332100273,27432.19675614347,7256.45061013958,0.26576221353718493,1000,USD,0,ATP,transport
12,RUS_ATP,4913.530394389686,19908.45402045612,12178.569528579937,0.24680622560350435,1000,USD,0,ATP,transport
13,South America_ATP,4161.64747841148,38925.11743714699,15313.720150705582,0.10691419197723318,1000,USD,0,ATP,transport
14,TJK_ATP,474.62426257749826,546.7936809927913,280.71058575052456,0.868013437382345,1000,USD,0,ATP,transport
15,TKM_ATP,126.37738092131404,375.72176132115794,141.88515352802634,0.33635896009038907,1000,USD,0,ATP,transport
16,TUR_ATP,7435.609610493843,14140.51228852905,8497.720051959388,0.5258373571462257,1000,USD,0,ATP,transport
17,UZB_ATP,263.2080838389196,357.8790368873863,179.4244331908361,0.7354666149997023,1000,USD,0,ATP,transport
18,ARM_BPH,25.404834315126706,36.09155744623738,18.80821713535333,0.7038996406007193,1000,USD,0,BPH,manufacturing
19,AZE_BPH,1.0073588305871743,7.023824569038905,4.827184952835499,0.14342027205913185,1000,USD,0,BPH,manufacturing
20,Africa_BPH,608.048161099246,10868.813655878703,5518.259419408126,0.05594429901467361,1000,USD,0,BPH,manufacturing
21,America_BPH,183.88966916433864,2014.7066132496454,588.5315506634662,0.09127367129039775,1000,USD,0,BPH,manufacturing
22,Asia_BPH,32877.34749345406,191787.6640832598,45512.94329550989,0.1714257674006665,1000,USD,0,BPH,manufacturing
23,CHN_BPH,16483.81528187882,654595.8891460021,63726.660376453285,0.025181666361186454,1000,USD,0,BPH,manufacturing
24,Europe_BPH,173449.17132128868,479931.7632153892,156716.5815048843,0.36140381740778055,1000,USD,0,BPH,manufacturing
25,GEO_BPH,45.86516025630456,71.66838514963293,35.985793773999035,0.6399636347399894,1000,USD,0,BPH,manufacturing
26,KAZ_BPH,30.89559102171856,621.930553240652,469.99991026387875,0.04967691466632885,1000,USD,0,BPH,manufacturing
27,KGZ_BPH,3.1697616707172713,6.569765687672913,2.4049023193509473,0.48247712649247276,1000,USD,0,BPH,manufacturing
28,North America_BPH,53027.082929840246,191450.69501643503,80767.71145670347,0.2769751393448227,1000,USD,0,BPH,manufacturing
29,Oceania_BPH,2334.8607484646054,9877.684127128,6878.645493763893,0.23637734497422944,1000,USD,0,BPH,manufacturing
30,RUS_BPH,567.453803237809,8085.577508120888,4618.472983113127,0.07018098616553697,1000,USD,0,BPH,manufacturing
31,South America_BPH,1982.8139608915474,39917.31633950301,15951.245230821087,0.049673027716277435,1000,USD,0,BPH,manufacturing
32,TJK_BPH,1.1726639900535396,2.1860794099626597,0.9137818832248586,0.5364233269428991,1000,USD,0,BPH,manufacturing
33,TKM_BPH,0.5599147557452138,53.366089439352606,28.264496138415886,0.010491957751214349,1000,USD,0,BPH,manufacturing
34,TUR_BPH,1471.3866652772172,4030.1879330276,1557.4633139103269,0.36509132817830325,1000,USD,0,BPH,manufacturing
35,UZB_BPH,44.60638724811603,250.01371717724993,174.4114485051647,0.1784157595500724,1000,USD,0,BPH,manufacturing
36,ARM_B_T,599.2632023398986,1092.3122066620967,689.9134755208435,0.5486189742135499,1000,USD,0,B,manufacturing
37,AZE_B_T,24.80876969106489,195.47631137911827,176.887477892614,0.1269144558541894,1000,USD,0,B,manufacturing
38,Africa_B_T,3435.351512554163,70691.50786104283,50648.61337135497,0.048596381892249046,1000,USD,0,B,manufacturing
39,America_B_T,867.1166271935958,5632.515590327375,2977.8711779516934,0.15394837587004298,1000,USD,0,B,manufacturing
40,Asia_B_T,3732.488050515401,193157.3844136192,139570.29168746443,0.019323558671320615,1000,USD,0,B,manufacturing
41,CHN_B_T,2274.4646187257936,300661.34061677434,102654.9142598514,0.007564872204919909,1000,USD,0,B,manufacturing
42,Europe_B_T,39118.58485315398,278287.27937119297,148898.09585087976,0.1405690728715477,1000,USD,0,B,manufacturing
43,GEO_B_T,522.3999782033419,1074.4823108179712,774.8697164496799,0.48618760210733897,1000,USD,0,B,manufacturing
