,sector,export_value,output,final_demand,exporting_firms_share,usd_per_ton,supply_data_currency,cutoff,sector_code,type
0,ARM_ATP,116.15373109860104,225.32944005856405,114.61601593414873,0.5154840444657929,1000,USD,0,ATP,transport
1,AZE_ATP,352.94276988770923,1174.8504836711058,979.9666902979618,0.3004150526327859,1000,USD,0,ATP,transport
2,Africa_ATP,13679.35913037599,44131.66594305283,22495.06853889535,0.30996697808842594,1000,USD,0,ATP,transport
3,America_ATP,3850.9946722199415,5808.3836379229515,2617.941222126009,0.6630062530781864,1000,USD,0,ATP,transport
4,Asia_ATP,43155.41170394445,281447.61719562265,143284.25289630253,0.15333372559323857,1000,USD,0,ATP,transport
5,CHN_ATP,13729.939132056163,155137.80530131707,29474.29706176972,0.08850156868849039,1000,USD,0,ATP,transport
6,Europe_ATP,51103.29021522477,226577.23506752122,114247.27743878202,0.22554468104439407,1000,USD,0,ATP,transport
7,GEO_ATP,199.5202392875011,467.4896409364252,194.69192536489462,0.4267907175180257,1000,USD,0,ATP,transport
8,KAZ_ATP,504.0128278861272,2517.172192787208,1466.9271680025206,0.20022977741862194,1000,USD,0,ATP,transport
9,KGZ_ATP,135.01512697938063,181.96769002651084,84.65578598939318,0.7419730775266219,1000,USD,0,ATP,transport
10,North America_ATP,62498.34393336724,313195.98465205036,169461.7645863621,0.19955027202152892,1000,USD,0,ATP,transport
11,Oceania_ATP,10056.306962402463,36290.86502205929,9660.742079607873,0.27710298325183946,1000,USD,0,ATP,transport
12,RUS_ATP,18221.666046655213,23705.91206437341,13641.94993075331,0.7686549244413915,1000,USD,0,ATP,transport
13,South America_ATP,5592.308251376252,50200.88067731326,19718.221089617633,0.11139860846910447,1000,USD,0,ATP,transport
14,TJK_ATP,623.2092356885748,775.452284758112,401.82784090417005,0.8036719317720153,1000,USD,0,ATP,transport
15,TKM_ATP,263.1453646652318,480.4331601411548,166.91882666233712,0.5477252331789874,1000,USD,0,ATP,transport
16,TUR_ATP,9150.6892511643,20164.587853685905,12556.302019580524,0.45379996445063153,1000,USD,0,ATP,transport
17,UZB_ATP,351.8714496896076,571.7415077502648,298.9016582304209,0.6154379993752424,1000,USD,0,ATP,transport
18,ARM_BPH,307.84851145710655,328.26379954438585,232.5371069316593,0.937808286763223,1000,USD,0,BPH,manufacturing
19,AZE_BPH,13.677848253485333,22.401410578570054,10.37677811995355,0.6105797760150883,1000,USD,0,BPH,manufacturing
20,Africa_BPH,835.5395611254096,16598.153489671862,8441.028445642478,0.050339308022746075,1000,USD,0,BPH,manufacturing
21,America_BPH,250.51266732526904,2081.2111037898394,625.6579884313348,0.1203686963177791,1000,USD,0,BPH,manufacturing
22,Asia_BPH,26740.00762798024,256430.733274399,53602.01270081937,0.10427770215579638,1000,USD,0,BPH,manufacturing
23,CHN_BPH,20558.593432806843,1024964.0740852234,98020.60307778131,0.020057867346380223,1000,USD,0,BPH,manufacturing
24,Europe_BPH,153992.95826409367,495318.53749624465,170027.944374822,0.3108968201402339,1000,USD,0,BPH,manufacturing
25,GEO_BPH,117.28232329058014,166.62340778483585,74.11228423512313,0.7038766332400856,1000,USD,0,BPH,manufacturing
26,KAZ_BPH,59.72864050722289,1044.4794228430897,779.2720004809945,0.05718508110446119,1000,USD,0,BPH,manufacturing
27,KGZ_BPH,15.547938828861122,20.777395975776145,9.264750071546612,0.7483102717485908,1000,USD,0,BPH,manufacturing
28,North America_BPH,53989.615329336266,235493.25044644237,102118.98905349456,0.22926183755578586,1000,USD,0,BPH,manufacturing
29,Oceania_BPH,3253.622301251034,13077.586268964511,8998.73058552315,0.24879379377312702,1000,USD,0,BPH,manufacturing
30,RUS_BPH,1484.5748316071397,5484.315742999587,1220.9178795764524,0.2706946319606259,1000,USD,0,BPH,manufacturing
31,South America_BPH,2162.316385100126,50839.965618816655,20331.60362576252,0.042531822332700774,1000,USD,0,BPH,manufacturing
32,TJK_BPH,1.6525749777253202,3.7903981289834694,1.6582225117156613,0.4359898146553057,1000,USD,0,BPH,manufacturing
33,TKM_BPH,8806.607526565844,8839.585444266642,8782.518013831666,0.9962692913701979,1000,USD,0,BPH,manufacturing
34,TUR_BPH,4650.5814640326,8853.830796693304,3377.717755086364,0.525262066874994,1000,USD,0,BPH,manufacturing
35,UZB_BPH,1183.0161823263552,1660.0676971081082,511.97304650487365,0.7126312887041942,1000,USD,0,BPH,manufacturing
36,ARM_B_T,1545.025883824476,2486.9177379402613,1633.6061245938079,0.6212613550716447,1000,USD,0,B_T,manufacturing
37,AZE_B_T,38.9000842698345,286.35914104954816,254.97290826304254,0.1358436965806644,1000,USD,0,B_T,manufacturing
38,Africa_B_T,4368.702508311677,107690.7673808181,77263.67717745068,0.04056710351838231,1000,USD,0,B_T,manufacturing
39,America_B_T,1066.677887082037,5801.919776141079,3100.978711728649,0.18384912722655677,1000,USD,0,B_T,manufacturing
40,Asia_B_T,4699.9434698222485,278454.8828095993,201758.47885215128,0.016878653455094757,1000,USD,0,B_T,manufacturing
41,CHN_B_T,1422.409880788007,471091.33777355496,160113.60658604503,0.003019392985467573,1000,USD,0,B_T,manufacturing
42,Europe_B_T,35837.42388498884,298763.74928566726,158628.72355243814,0.11995238368334431,1000,USD,0,B_T,manufacturing
43,GEO_B_T,790.3283918741923,1846.023605706454,1291.1757014650857,0.42812474847619403,1000,USD,0,B_T,manufacturing
44,KAZ_B_T,387.2172677758368,2536.2454636419093,2367.3563304895274,0.15267341955924646,1000,USD,0,B_T,manufacturing
45,KGZ_B_T,198.85992333563178,320.60600374535574,250.06821893892692,0.6202626308070578,1000,USD,0,B_T,manufacturing
46,North America_B_T,7266.66478907561,286466.4612087526,218260.8423744178,0.02536654643064927,1000,USD,0,B_T,manufacturing
47,Oceania_B_T,4488.805630037103,20623.675606186018,13919.824411830374,0.21765303701202016,1000,USD,0,B_T,manufacturing
48,RUS_B_T,16634.179883897552,19041.20495967332,16362.437380735935,0.8735886158006534,1000,USD,0,B,manufacturing
49,South America_B_T,10043.00038834812,114100.22003432836,66978.83175109953,0.0880191149966807,1000,USD,0,B,manufacturing
50,TJK_B_T,7.929789127821303,13.400375134999951,10.657602541937132,0.5917587416720728,1000,USD,0,B_T,manufacturing
51,TKM_B_T,137.0196095202945,155.81161443527878,136.93000905385802,0.8793927847863348,1000,USD,0,B_T,manufacturing
52,TUR_B_T,4986.582743607516,32685.921180960824,23333.545891927,0.15256056930444242,1000,USD,0,B_T,manufacturing
53,UZB_B_T,117.05132027244632,2343.054195983042,1992.246045195499,0.04995672762205859,1000,USD,0,B_T,manufacturing
54,ARM_CHM,66.80045046861262,155.29716692930506,41.52135642866272,0.4301459697524409,1000,USD,0,CHM,manufacturing
55,AZE_CHM,786.5565796093343,904.6819736440601,196.62535337098802,0.8694288186610853,1000,USD,0,CHM,manufacturing
56,Africa_CHM,16809.29519548328,79752.6860404914,22410.373570027412,0.21076776256725693,1000,USD,0,CHM,manufacturing
57,America_CHM,1200.0214268745672,4649.503735457557,1120.7302485644664,0.2580966690537508,1000,USD,0,CHM,manufacturing
58,Asia_CHM,503811.58493949514,1578433.2748938256,210137.5299357479,0.31918459459325854,1000,USD,0,CHM,manufacturing
59,CHN_CHM,95823.56521318383,1094709.696299274,42066.91276419609,0.08753331183337522,1000,USD,0,CHM,manufacturing
60,Europe_CHM,127894.21633198154,746939.6499255119,101880.51316134603,0.17122429682871396,1000,USD,0,CHM,manufacturing
61,GEO_CHM,1224.2660543848233,1319.5436650180184,301.67700434746484,0.9277950300857274,1000,USD,0,CHM,manufacturing
62,KAZ_CHM,7944.09177143384,9006.234585320273,508.9128334828724,0.8820658285297527,1000,USD,0,CHM,manufacturing
63,KGZ_CHM,696.7574734871414,717.8560632213578,191.32340840999856,0.9706088855201179,1000,USD,0,CHM,manufacturing
64,North America_CHM,115781.27857705418,840599.5685505486,105901.55191142921,0.13773654294957183,1000,USD,0,CHM,manufacturing
65,Oceania_CHM,4864.605161373909,21746.31996741066,4126.368629700859,0.22369785640347767,1000,USD,0,CHM,manufacturing
66,RUS_CHM,27492.41726269487,69362.64804895522,5662.030583212475,0.3963576656313798,1000,USD,0,CHM,manufacturing
