,sector,export_value,output,final_demand,exporting_firms_share,usd_per_ton,supply_data_currency,cutoff,sector_code,type
0,ARM_AFS,621.8205429040147,994.2770020489997,516.338400380204,0.6253997041293029,1000,USD,0,AFS,service
1,AZE_AFS,987.6968200955639,1173.5935132268062,626.7720299739412,0.8416004425415426,1000,USD,0,AFS,service
2,Africa_AFS,33191.907726753096,101404.0208705642,61611.88800703035,0.32732338857766263,1000,USD,0,AFS,service
3,America_AFS,18681.799082075377,26794.563151665447,14266.555678711065,0.6972234992722465,1000,USD,0,AFS,service
4,Asia_AFS,162396.76266166504,946661.6397804983,669705.4898611509,0.17154678698010817,1000,USD,0,AFS,service
5,CHN_AFS,27404.237082310374,543579.4309624555,217501.98934658893,0.05041441143898464,1000,USD,0,AFS,service
6,Europe_AFS,101019.5017032726,1299378.2829554991,899426.4219257318,0.07774448982901179,1000,USD,0,AFS,service
7,GEO_AFS,1309.8876379400433,1597.2609919264416,707.3655626118489,0.8200836585636515,1000,USD,0,AFS,service
8,KAZ_AFS,1079.9592013464032,3579.3654053097225,2220.315365366853,0.30171806425361436,1000,USD,0,AFS,service
9,MNG_AFS,380.7169063825111,691.1000316613441,339.4592229345456,0.5508853840844152,1000,USD,0,AFS,service
10,North America_AFS,132163.00011719012,1226048.2333546649,851595.4891797012,0.10779592231503889,1000,USD,0,AFS,service
11,Oceania_AFS,21369.97724628785,153396.9181389621,106035.9036115423,0.1393116465803362,1000,USD,0,AFS,service
12,South America_AFS,17030.711782220886,191683.72219083938,153417.32901935835,0.08884798139126907,1000,USD,0,AFS,service
13,TJK_AFS,11.034110701961353,303.8796890642212,207.7635697802623,0.036310787127432624,1000,USD,0,AFS,service
14,TUR_AFS,18636.797871763294,61325.7188924831,42174.40498315272,0.3038985634141122,1000,USD,0,AFS,service
15,UKR_AFS,2336.3576101273093,3346.3655924819586,1716.6702186451876,0.6981776334827963,1000,USD,0,AFS,service
16,UZB_AFS,780.8217734896737,1560.6906081788816,1045.7368465173317,0.5003052939498296,1000,USD,0,AFS,service
17,ARM_ATP,88.79093143577379,145.94080949806977,75.0967348473542,0.6084037202558352,1000,USD,0,ATP,transport
18,AZE_ATP,268.1427527084987,834.9965645791932,689.311406729696,0.3211303663789713,1000,USD,0,ATP,transport
19,Africa_ATP,10710.201584000735,30532.75674351032,15440.248849823944,0.35077741829771625,1000,USD,0,ATP,transport
20,America_ATP,3087.0061559956953,5044.399103955737,2306.200389009116,0.6119670732585204,1000,USD,0,ATP,transport
21,Asia_ATP,32498.065595975546,197104.33463892527,100280.38937224293,0.16487747798904898,1000,USD,0,ATP,transport
22,CHN_ATP,10302.64504993119,100140.9427609325,19440.111124688552,0.10288144654805977,1000,USD,0,ATP,transport
23,Europe_ATP,38623.477050255075,216467.19929705697,111565.86053945028,0.17842646449752533,1000,USD,0,ATP,transport
24,GEO_ATP,154.089990824459,294.22649336652034,127.3788007362638,0.5237121547464043,1000,USD,0,ATP,transport
25,KAZ_ATP,390.2183502652305,1598.491158501324,929.1183016424418,0.2441166772740128,1000,USD,0,ATP,transport
26,MNG_ATP,105.46383660814045,339.5608483195257,243.23259673929954,0.31058891839291,1000,USD,0,ATP,transport
27,North America_ATP,46743.124258769836,237937.58480241857,129184.2059145774,0.1964512008373328,1000,USD,0,ATP,transport
28,Oceania_ATP,7289.043546880107,27430.72953549567,7256.450624202853,0.2657254717723786,1000,USD,0,ATP,transport
29,South America_ATP,4159.747043179813,38923.21275168384,15313.730619671695,0.10687059852221115,1000,USD,0,ATP,transport
30,TJK_ATP,474.5931711718758,546.7627166369713,280.71048954642794,0.8680057303303415,1000,USD,0,ATP,transport
31,TUR_ATP,7433.345561676954,14138.25496689743,8497.719913768977,0.5257611762612148,1000,USD,0,ATP,transport
32,UKR_ATP,759.0558828005444,1377.598217470271,867.6246043216092,0.5509994664441594,1000,USD,0,ATP,transport
33,UZB_ATP,263.17768385521725,357.84866417734065,179.42429390444613,0.7354440862878089,1000,USD,0,ATP,transport
34,ARM_BPH,25.404829042115278,36.09155605571082,18.808214634318976,0.7038995216194187,1000,USD,0,BPH,manufacturing
35,AZE_BPH,1.0073541870446272,7.02382110039538,4.827185695487454,0.14341968177235065,1000,USD,0,BPH,manufacturing
36,Africa_BPH,608.0237565482652,10868.46591500206,5518.254866027071,0.05594384352891904,1000,USD,0,BPH,manufacturing
37,America_BPH,183.89196469885687,2014.5869249421733,588.5313853324282,0.09128023339282583,1000,USD,0,BPH,manufacturing
38,Asia_BPH,32900.76003895653,191787.6052457368,45513.51994293345,0.1715478953752037,1000,USD,0,BPH,manufacturing
39,CHN_BPH,16483.549628428747,654595.7221207301,63726.67302128909,0.025181266958216708,1000,USD,0,BPH,manufacturing
40,Europe_BPH,164537.0685279222,487028.94096145045,160818.47091171285,0.33783838020612766,1000,USD,0,BPH,manufacturing
41,GEO_BPH,45.865141657667465,71.66837390721298,35.98578773889361,0.6399634756196334,1000,USD,0,BPH,manufacturing
42,KAZ_BPH,30.895788441600903,621.9305648278024,469.99984248166595,0.04967723117154598,1000,USD,0,BPH,manufacturing
43,MNG_BPH,0.12422392111983116,5.795497329020584,1.7976477061490819,0.02143455756554106,1000,USD,0,BPH,manufacturing
44,North America_BPH,53026.12967395261,191449.7264225148,80767.70515380419,0.27697156148934904,1000,USD,0,BPH,manufacturing
45,Oceania_BPH,2334.856367533979,9877.243432422385,6878.645973275186,0.2363874479259805,1000,USD,0,BPH,manufacturing
46,South America_BPH,1982.7607494262807,39917.28548705383,15951.257669262735,0.04967173306585037,1000,USD,0,BPH,manufacturing
47,TJK_BPH,1.1726631380971813,2.186079514283883,0.913782538479034,0.5364229116255741,1000,USD,0,BPH,manufacturing
48,TUR_BPH,1471.3104166010826,4030.110607782509,1557.4632787456828,0.3650794133937289,1000,USD,0,BPH,manufacturing
49,UKR_BPH,238.35967378957682,1030.7665184686819,544.85344203356,0.2312450681301587,1000,USD,0,BPH,manufacturing
50,UZB_BPH,44.606325999791004,250.013718235924,174.41149328102006,0.17841551381471998,1000,USD,0,BPH,manufacturing
51,ARM_B_T,599.2615022859769,1092.3103855334214,689.91317678193,0.5486183325020133,1000,USD,0,B,
52,AZE_B_T,24.80806706525878,195.47561641529936,176.88746091246333,0.12691131262403896,1000,USD,0,B,
53,Africa_B_T,3434.192729788245,70690.0555089175,50648.505458730055,0.04858098787820337,1000,USD,0,B,
54,America_B_T,866.9463848777617,5602.185169546124,2977.8674107160064,0.15475146905006706,1000,USD,0,B,
55,Asia_B_T,3798.134762059913,193187.18343965596,139607.28890358566,0.01966038685607889,1000,USD,0,B,
56,CHN_B_T,2267.8407556719226,300654.78182837664,102654.928236043,0.007543005775196613,1000,USD,0,B,
57,Europe_B_T,37249.894567596566,297519.3642121344,166542.46381598982,0.1252015802945754,1000,USD,0,B,
58,GEO_B_T,522.3922772886917,1074.4747823047458,774.8696698765268,0.4861838415306142,1000,USD,0,B,
59,KAZ_B_T,83.30520837358651,1373.1248118426006,1277.622443966027,0.06066834395177739,1000,USD,0,B,
60,MNG_B_T,1.4002873345936977,44.239978949476345,27.96991355373646,0.03165207958604312,1000,USD,0,B,
61,North America_B_T,9315.32154355234,222246.80672309888,168859.88686436467,0.04191430995523125,1000,USD,0,B,
62,Oceania_B_T,3311.876160917968,15699.487015733575,10598.671442481247,0.21095441893094344,1000,USD,0,B,
63,South America_B_T,5466.95789211347,86558.93572290131,50753.00153261802,0.0631587928670321,1000,USD,0,B,
64,TJK_B_T,4.700290369733864,7.293568816310829,3.1783958841535425,0.6444431372502392,1000,USD,0,B,
65,TUR_B_T,1738.219819427184,18600.670071966077,13270.483495810364,0.0934493119173666,1000,USD,0,B,
66,UKR_B_T,824.3606001495159,2384.6427596112426,1975.5446365608323,0.3456956379847469,1000,USD,0,B,
67,UZB_B_T,22.343863220798493,980.8092066457392,829.552702439595,0.022781049636770922,1000,USD,0,B,
68,ARM_CHM,9.53290425274453,55.857989456867394,14.94237185283377,0.17066321837640933,1000,USD,0,CHM,manufacturing
69,AZE_CHM,250.09149418758815,331.56025237530355,77.31265112991757,0.7542867168061559,1000,USD,0,CHM,manufacturing
70,Africa_CHM,13250.72805764018,54222.83811972505,14937.525860345153,0.24437540558799825,1000,USD,0,CHM,manufacturing
71,America_CHM,937.065049968161,4386.546081920676,1082.5231129345334,0.21362252498162776,1000,USD,0,CHM,manufacturing
72,Asia_CHM,207323.98564624687,950740.9515608024,106035.04979300317,0.21806569424183256,1000,USD,0,CHM,manufacturing
73,CHN_CHM,92921.25575778188,727526.7825365616,30365.002343705077,0.12772211001470885,1000,USD,0,CHM,manufacturing
74,Europe_CHM,152732.0344911633,770682.4774210858,105895.82180702656,0.19817763990462897,1000,USD,0,CHM,manufacturing
75,GEO_CHM,219.6241485407469,269.4501749862162,50.65616347617609,0.8150825975599453,1000,USD,0,CHM,manufacturing
76,KAZ_CHM,2532.033980332775,3169.519054254798,232.7731174901301,0.798870092588257,1000,USD,0,CHM,manufacturing
77,MNG_CHM,2.5605770940599997,30.405561742924927,4.443290049310198,0.08421410252865401,1000,USD,0,CHM,manufacturing
78,North America_CHM,114175.32336245012,666957.4931129122,84680.68890882321,0.17118830591370368,1000,USD,0,CHM,manufacturing
79,Oceania_CHM,3423.7964345680134,16384.799637726243,3139.4120223589,0.20896175176196063,1000,USD,0,CHM,manufacturing
80,South America_CHM,10716.495400394664,175929.091604902,28391.9474547707,0.06091371985516501,1000,USD,0,CHM,manufacturing
81,TJK_CHM,3.443898977479472,7.402936333767918,1.1767720245024675,0.4652071586473593,1000,USD,0,CHM,manufacturing
82,TUR_CHM,6127.16077775496,24136.436633760393,4055.414803294643,0.2538552343383077,1000,USD,0,CHM,manufacturing
83,UKR_CHM,1375.2997288168347,2458.070252034244,288.4787270187919,0.5595038334151221,1000,USD,0,CHM,manufacturing
84,UZB_CHM,888.78349072472,1620.2680205114355,153.58636712005807,0.5485410311586454,1000,USD,0,CHM,manufacturing
85,ARM_CMN,354.0986949377933,649.4898479056676,247.94440089859373,0.5451951190301328,1000,USD,0,CMN,service
86,AZE_CMN,281.22093592628954,1384.8472785989902,528.521212012582,0.20306999932208597,1000,USD,0,CMN,service
87,Africa_CMN,7710.25831581829,121948.71158492632,63429.75243336358,0.06322541842066767,1000,USD,0,CMN,service
88,America_CMN,3115.5433465434594,13079.214699499928,4763.354968126999,0.23820568880657486,1000,USD,0,CMN,service
89,Asia_CMN,70619.80108638106,1090069.8326934553,445312.01114307216,0.064784657797461,1000,USD,0,CMN,service
90,CHN_CMN,15581.017654748448,481373.91483315965,123499.268624352,0.03236780634478024,1000,USD,0,CMN,service
91,Europe_CMN,81111.46331118257,2071662.0948981065,724088.203913639,0.039152844236005575,1000,USD,0,CMN,service
92,GEO_CMN,397.1969829532218,929.8752142425948,344.8027765387549,0.4271508444030827,1000,USD,0,CMN,service
93,KAZ_CMN,332.90841856045876,5148.971750474324,3497.6411187211706,0.06465532045884524,1000,USD,0,CMN,service
94,MNG_CMN,20.47411110556601,552.072189609027,258.66107031466424,0.03708593095418483,1000,USD,0,CMN,service
95,North America_CMN,72268.0711128596,1426297.1210580557,581169.7100645453,0.05066831450886594,1000,USD,0,CMN,service
96,Oceania_CMN,4799.41900314359,169144.7344884314,44874.430180038515,0.02837462849588052,1000,USD,0,CMN,service
97,South America_CMN,5492.517360369917,268724.5774716883,106768.67494654773,0.020439207355153758,1000,USD,0,CMN,service
98,TJK_CMN,243.4893356345143,626.448654067179,246.67865023696578,0.38868203172546534,1000,USD,0,CMN,service
99,TUR_CMN,1353.5546292119616,35977.44337282921,15114.920693696411,0.03762231282487931,1000,USD,0,CMN,service
100,UKR_CMN,1847.8676035750993,6222.273492355729,1637.4940127236512,0.29697627496529466,1000,USD,0,CMN,service
101,UZB_CMN,432.33243287664914,1945.3137391690911,1015.8240340382308,0.22224303677684035,1000,USD,0,CMN,service
102,ARM_CMT,29.247932859643935,259.91790207668953,184.7564050077455,0.11252758130917141,1000,USD,0,CMT,manufacturing
103,AZE_CMT,1.4753523052480395,53.56403115904252,47.65351442696294,0.02754371307244255,1000,USD,0,CMT,manufacturing
104,Africa_CMT,762.6215222618663,80672.09247825872,73873.4689772338,0.00945334996073635,1000,USD,0,CMT,manufacturing
105,America_CMT,36.96710973261952,2174.671153376604,1483.5642157258303,0.016998942426408162,1000,USD,0,CMT,manufacturing
106,Asia_CMT,813.3696590892242,49111.11482694157,31057.32372373475,0.0165618243844675,1000,USD,0,CMT,manufacturing
107,CHN_CMT,1482.998615747728,141354.8561298153,81052.74139920002,0.01049131707499171,1000,USD,0,CMT,manufacturing
108,Europe_CMT,1341.2331905638237,122871.43126747012,83090.62253312756,0.010915744829603133,1000,USD,0,CMT,manufacturing
109,GEO_CMT,51.27239424247637,365.0891382256661,238.42923180053558,0.14043801601893802,1000,USD,0,CMT,manufacturing
110,KAZ_CMT,13.65705397972882,1439.8316877115078,1398.8759528467563,0.00948517392434637,1000,USD,0,CMT,manufacturing
