,sector,export_value,output,final_demand,exporting_firms_share,usd_per_ton,supply_data_currency,cutoff,sector_code,type
0,ARM_ATP,88.79096594509653,145.94081214417272,75.0967556195955,0.6084039456857433,1000,USD,0,ATP,transport
1,AZE_ATP,268.1433449622501,834.9965886110795,689.3112887359034,0.3211310664254038,1000,USD,0,ATP,transport
2,Africa_ATP,10710.281944581193,30532.7720412046,15440.254664391074,0.35077987449444314,1000,USD,0,ATP,transport
3,America_ATP,3087.0101695291182,5044.399135232128,2306.2019490427283,0.6119678651057145,1000,USD,0,ATP,transport
4,Asia_ATP,32449.008402184827,197310.13767352636,100459.52847536583,0.1644568737561557,1000,USD,0,ATP,transport
5,CHN_ATP,10302.635649433956,100140.9215609719,19440.11135330439,0.10288137445550752,1000,USD,0,ATP,transport
6,Europe_ATP,38472.00143445736,217469.0956729206,112291.61593414785,0.1769079018580198,1000,USD,0,ATP,transport
7,GEO_ATP,154.09021679336905,294.22647050872473,127.37896919788724,0.5237129634425595,1000,USD,0,ATP,transport
8,KAZ_ATP,390.2182936745166,1598.491077528151,929.1183089564493,0.244116654237405,1000,USD,0,ATP,transport
9,KGZ_ATP,103.2244437353241,133.75130311704413,64.09531582211527,0.7717640227025949,1000,USD,0,ATP,transport
10,North America_ATP,46743.23462555469,237937.5803197045,129184.2494458339,0.19645166838608769,1000,USD,0,ATP,transport
11,Oceania_ATP,7289.041665776393,27430.72775834925,7256.45061013958,0.2657254204113409,1000,USD,0,ATP,transport
12,South America_ATP,4159.689764334428,38923.15972306993,15313.720150705582,0.10686927253413503,1000,USD,0,ATP,transport
13,TJK_ATP,474.5932509128778,546.7626693281709,280.71058575052456,0.8680059512768665,1000,USD,0,ATP,transport
14,TKM_ATP,212.5427414940283,375.7071707234553,141.88515352802634,0.565713827300021,1000,USD,0,ATP,transport
15,TUR_ATP,7433.352965638466,14138.255643673674,8497.720051959388,0.5257616747766621,1000,USD,0,ATP,transport
16,UZB_ATP,263.1776918019285,357.8486448503952,179.4244331908361,0.735444148215105,1000,USD,0,ATP,transport
17,ARM_BPH,25.404833626953476,36.09155675806415,18.80821713535333,0.7038996349548464,1000,USD,0,BPH,manufacturing
18,AZE_BPH,1.0073558683293622,7.023821606781092,4.827184952835499,0.14341991080138178,1000,USD,0,BPH,manufacturing
19,Africa_BPH,608.03053011737,10868.476821346783,5518.259419408126,0.05594441062091946,1000,USD,0,BPH,manufacturing
20,America_BPH,183.88901748283104,2014.5874539474012,588.5315506634662,0.09127874648604467,1000,USD,0,BPH,manufacturing
21,Asia_BPH,32876.60137546995,191786.84493584902,45512.94329550989,0.17142260923301011,1000,USD,0,BPH,manufacturing
22,CHN_BPH,16483.506230443323,654595.5800945667,63726.660376453285,0.025181206124340192,1000,USD,0,BPH,manufacturing
23,Europe_BPH,163268.85666707464,488006.36105923605,161335.0544879974,0.33456296822175324,1000,USD,0,BPH,manufacturing
24,GEO_BPH,45.86515004011339,71.66837493344174,35.985793773999035,0.6399635834174872,1000,USD,0,BPH,manufacturing
25,KAZ_BPH,30.895580040946815,621.9305422598802,469.99991026387875,0.04967689788747627,1000,USD,0,BPH,manufacturing
26,KGZ_BPH,3.1697609737053005,6.569764990660941,2.4049023193509473,0.48247707158645436,1000,USD,0,BPH,manufacturing
27,North America_BPH,53026.13577124161,191449.73105455624,80767.71145670347,0.27697158663613414,1000,USD,0,BPH,manufacturing
28,Oceania_BPH,2334.8553574590987,9877.242691466268,6878.645493763893,0.2363873633960989,1000,USD,0,BPH,manufacturing
29,South America_BPH,1982.756519129764,39917.25889774122,15951.245230821085,0.04967166017609394,1000,USD,0,BPH,manufacturing
30,TJK_BPH,1.172663969616795,2.186079389525915,0.9137818832248586,0.5364233226091141,1000,USD,0,BPH,manufacturing
31,TKM_BPH,28.60250595249513,53.366083248865,28.264496138415886,0.5359678696881591,1000,USD,0,BPH,manufacturing
32,TUR_BPH,1471.3098883170987,4030.1111560674817,1557.4633139103269,0.36507923264150843,1000,USD,0,BPH,manufacturing
33,UZB_BPH,44.606362440232566,250.0136923693665,174.4114485051647,0.17841567802747296,1000,USD,0,BPH,manufacturing
34,ARM_B_T,599.2614503575994,1092.3104546797977,689.9134755208435,0.5486182502329598,1000,USD,0,B,manufacturing
35,AZE_B_T,24.80809223405153,195.47563392210492,176.887477892614,0.12691143001453217,1000,USD,0,B,manufacturing
36,Africa_B_T,3434.225803651004,70690.2343647281,50648.61337135497,0.04858133283208579,1000,USD,0,B,manufacturing
37,America_B_T,866.9441629660372,5602.186052025078,2977.8711779516934,0.15475104805786558,1000,USD,0,B,manufacturing
38,Asia_B_T,3732.4672448666597,193128.29053686836,139570.29168746443,0.019326361945683605,1000,USD,0,B,manufacturing
39,CHN_B_T,2267.83602639025,300654.7120244388,102654.9142598514,0.0075429917965360496,1000,USD,0,B,manufacturing
40,Europe_B_T,37646.31233961162,299824.16864186665,168452.341507075,0.1255612998449745,1000,USD,0,B,manufacturing
41,GEO_B_T,522.3924816411436,1074.474814255773,774.8697164496799,0.4861840172614701,1000,USD,0,B,manufacturing
42,KAZ_B_T,83.3051927056243,1373.1247301303931,1277.6223783756932,0.06066833615159896,1000,USD,0,B,manufacturing
43,KGZ_B_T,23.979664896357,103.13456583781645,64.9752023826019,0.23250851643731216,1000,USD,0,B,manufacturing
44,North America_B_T,9315.324667344177,222246.8155316766,168859.8988631681,0.041914322349498295,1000,USD,0,B,manufacturing
45,Oceania_B_T,3311.8754097720825,15699.485883905643,10598.671139421738,0.21095438629409244,1000,USD,0,B,manufacturing
46,South America_B_T,5466.943845397302,86558.75719939957,50752.88900104039,0.06315876084962117,1000,USD,0,B,manufacturing
47,TJK_B_T,4.700288420692633,7.29356944693242,3.1783973876505387,0.6444428143026064,1000,USD,0,B,manufacturing
48,TKM_B_T,65.7383140132185,79.84949199868318,65.6819495477467,0.8232777988656785,1000,USD,0,B,manufacturing
49,TUR_B_T,1738.2176981614248,18600.672599089354,13270.486617644015,0.09344918517874047,1000,USD,0,B,manufacturing
50,UZB_B_T,22.34385221804672,980.8091184345672,829.5526457684296,0.02278104046759772,1000,USD,0,B,manufacturing
51,ARM_CHM,9.532909203920486,55.85799179813151,14.942372138626245,0.17066329986176426,1000,USD,0,CHM,manufacturing
52,AZE_CHM,250.09155415164955,331.5602660799656,77.31261463550183,0.7542868664827665,1000,USD,0,CHM,manufacturing
53,Africa_CHM,13250.779302208688,54222.87213406185,14937.505394566515,0.2443761973627506,1000,USD,0,CHM,manufacturing
