sector,type,essential,usd_per_ton,output,final_demand,share_exporting_firms
A0116,agriculture,true,521.0924949,15396244,7488203,0.278087926
A0161,agriculture,true,521.0924949,8410987,5156991,0.278087926
A0220,agriculture,true,521.0924949,39482390,23868720,0.278087926
C2211,manufacturing,true,1604.497003,4266129,1662601,0.278087926
C2513,manufacturing,true,1604.497003,19071683,1910.470729,0.278087926
G4721,trade,false,0,14474743,7327684,0.278087926
H4923,transport,false,0,3731814,3098168,0.278087926
J6130,service,false,0,5465823,2267505,0.278087926
K6511,service,false,0,15088384,5953975,0.278087926
IMP,imports,true,1184.712567,,,
